date,rate
2024-07-28,111.451
2024-07-29,111.018
2024-07-30,110.227
2024-07-31,108.438
2024-08-01,107.487
2024-08-02,105.616
2024-08-04,104.858
2024-08-05,105.591
2024-08-06,104.967
2024-08-07,106.246
2024-08-08,107.507
2024-08-09,106.794
2024-08-11,107.039
2024-08-12,106.95
2024-08-13,107.19177
2024-08-14,107.354
2024-08-15,108.646
2024-08-16,107.883
2024-08-18,108.161
2024-08-19,107.61
2024-08-20,106.73
2024-08-21,106.827
2024-08-22,107.464
2024-08-23,106.857
2024-08-25,106.586
2024-08-26,107.19
2024-08-27,107.057
2024-08-28,107.178
2024-08-29,107.406
2024-08-30,108.308
2024-09-01,108.49
2024-09-02,108.694
2024-09-03,107.316
2024-09-04,106.102
2024-09-05,106.207
2024-09-06,104.814
2024-09-08,105.054
2024-09-09,105.542
2024-09-10,104.502
2024-09-11,105.031
2024-09-12,104.224
2024-09-13,103.619
2024-09-15,103.691
2024-09-16,103.625
2024-09-17,104.474
2024-09-18,104.842
2024-09-19,105.325
2024-09-20,105.986
2024-09-22,106.158
2024-09-23,106.16
2024-09-24,106.515
2024-09-25,107.27
2024-09-26,107.646
2024-09-27,105.187
2024-09-29,105.687
2024-09-30,106.237
2024-10-01,106.506
2024-10-02,108.539
2024-10-03,108.35
2024-10-04,109.534
2024-10-06,109.587
2024-10-07,108.76
2024-10-08,108.509
2024-10-09,108.797
2024-10-10,108.066
2024-10-11,108.375
2024-10-12,108.344
2024-10-13,108.353
2024-10-14,108.427
2024-10-15,108.186
2024-10-16,108.728
2024-10-17,108.836
2024-10-18,108.315
2024-10-19,108.315
2024-10-20,108.399
2024-10-21,108.937
2024-10-22,109.298
2024-10-23,110.344
2024-10-24,109.581
2024-10-25,109.6
2024-10-27,110.063
2024-10-28,110.302
2024-10-29,110.194
2024-10-30,110.265
2024-10-31,109.125
2024-11-01,109.651
2024-11-03,109.404
2024-11-04,109.415
2024-11-05,109.646
2024-11-06,110.92
2024-11-07,110.458
2024-11-08,109.712
2024-11-09,109.717
2024-11-10,109.933
2024-11-11,110.239
2024-11-12,110.896
2024-11-13,111.074
2024-11-14,111.269
2024-11-15,109.532
2024-11-17,109.79
2024-11-18,110.264
2024-11-19,110.858
2024-11-20,111.159
2024-11-21,110.58
2024-11-22,110.613
2024-11-24,110.628
2024-11-25,110.264
2024-11-26,108.873
2024-11-27,107.659
2024-11-28,108.047
2024-11-29,106.826
2024-11-30,106.942
2024-12-01,106.965
2024-12-02,106.473
2024-12-03,106.325
2024-12-04,106.977
2024-12-05,106.988
2024-12-06,105.964
2024-12-08,105.97
2024-12-09,106.679
2024-12-10,107.117
2024-12-11,107.65
2024-12-12,107.305
2024-12-13,107.925
2024-12-15,107.861
2024-12-16,108.201
2024-12-17,107.262
2024-12-18,107.148
2024-12-19,109.317
2024-12-20,108.789
2024-12-22,108.989
2024-12-23,109.281
2024-12-24,109.431
2024-12-25,109.485
2024-12-26,109.652
2024-12-27,109.467
2024-12-29,109.619
2024-12-30,109.15
2024-12-31,109.273
2025-01-01,109.294
2025-01-02,109.301
2025-01-03,108.866
2025-01-05,109.048
2025-01-06,109.775
2025-01-07,110.019
2025-01-08,110.09
2025-01-09,109.845
2025-01-10,109.349
2025-01-12,109.52
2025-01-13,109.414
2025-01-14,110.053
2025-01-15,109.022
2025-01-16,107.781
2025-01-17,107.909
2025-01-19,107.978
2025-01-20,108.685
2025-01-21,107.597
2025-01-22,108.824
2025-01-23,108.481
2025-01-24,108.697
2025-01-26,108.255
2025-01-27,107.491
2025-01-28,108.002
2025-01-29,107.618
2025-01-30,106.502
2025-01-31,106.753
2025-02-02,105.551
2025-02-03,107.205
2025-02-04,107.787
2025-02-05,106.632
2025-02-06,105.77
2025-02-07,105.905
2025-02-09,105.936
2025-02-10,106.167
2025-02-11,106.695
2025-02-12,107.931
2025-02-13,107.615
2025-02-14,107.345
2025-02-16,107.17
2025-02-17,106.842
2025-02-18,107.068
2025-02-19,106.385
2025-02-20,105.525
2025-02-21,104.928
2025-02-23,105.108
2025-02-24,104.95
2025-02-25,104.089
2025-02-26,103.974
2025-02-27,103.69
2025-02-28,104.073
2025-03-02,104.397
2025-03-03,103.196
2025-03-04,104.102
2025-03-05,103.758
2025-03-06,103.517
2025-03-07,102.976
2025-03-09,102.708
2025-03-10,101.915
2025-03-11,102.312
2025-03-12,103.129
2025-03-13,102.257
2025-03-14,103.413
2025-03-16,103.406
2025-03-17,104.35
2025-03-18,104.338
2025-03-19,103.92518
2025-03-20,103.86458
2025-03-21,104.03164
2025-03-22,104.03164
2025-03-23,104.14168
2025-03-24,105.23878
