date,rate
2024-07-28,48.3192
2024-07-29,48.2929
2024-07-30,48.4158
2024-07-31,48.51
2024-08-01,48.64
2024-08-02,48.62
2024-08-04,48.6447
2024-08-05,49.2171
2024-08-06,49.15
2024-08-07,49.22
2024-08-08,49.2
2024-08-09,49.2
2024-08-10,49.2
2024-08-11,49.23558
2024-08-12,49.2895
2024-08-13,49.3385
2024-08-14,49.0637
2024-08-15,48.8918
2024-08-16,48.85
2024-08-18,48.8748
2024-08-19,48.73
2024-08-20,48.8777
2024-08-21,48.7526
2024-08-22,48.7475
2024-08-23,48.73
2024-08-25,48.78212
2024-08-26,48.68
2024-08-27,48.65
2024-08-28,48.6299
2024-08-29,48.5876
2024-08-30,48.57
2024-09-01,48.6112
2024-09-02,48.49
2024-09-03,48.4749
2024-09-04,48.4579
2024-09-05,48.4118
2024-09-06,48.39
2024-09-08,48.4043
2024-09-09,48.3204
2024-09-10,48.3328
2024-09-11,48.32
2024-09-12,48.39
2024-09-13,48.39
2024-09-15,48.3217
2024-09-16,48.38
2024-09-17,48.36
2024-09-18,48.5026
2024-09-19,48.50644
2024-09-20,48.46
2024-09-22,48.4791
2024-09-23,48.6241
2024-09-24,48.6625
2024-09-25,48.5194
2024-09-26,48.3396
2024-09-27,48.31
2024-09-29,48.2871
2024-09-30,48.26063
2024-10-01,48.2069
2024-10-02,48.34575
2024-10-03,48.3195
2024-10-04,48.29
2024-10-06,48.325
2024-10-07,48.3727
2024-10-08,48.5761
2024-10-09,48.4671
2024-10-10,48.55949
2024-10-11,48.53
2024-10-13,48.6028
2024-10-14,48.55
2024-10-15,48.5
2024-10-16,48.54
2024-10-17,48.58
2024-10-18,48.58
2024-10-20,48.5965
2024-10-21,48.62
2024-10-22,48.6746
2024-10-23,48.6982
2024-10-24,48.7523
2024-10-25,48.73
2024-10-26,48.73
2024-10-27,48.75579
2024-10-28,48.65
2024-10-29,48.66
2024-10-30,48.69
2024-10-31,48.9
2024-11-01,48.88
2024-11-03,48.73228
2024-11-04,49.01
2024-11-05,49.07
2024-11-06,49.19
2024-11-07,49.274
2024-11-08,49.25
2024-11-10,49.29279
2024-11-11,49.18
2024-11-12,49.18711
2024-11-13,49.2965
2024-11-14,49.5764
2024-11-15,49.31
2024-11-17,49.32811
2024-11-18,49.4165
2024-11-19,49.52156
2024-11-20,49.6905
2024-11-21,49.64
2024-11-22,49.62
2024-11-24,49.34205
2024-11-25,49.57
2024-11-26,49.58
2024-11-27,49.62
2024-11-28,49.54
2024-11-29,49.54
2024-12-01,49.73301
2024-12-02,49.66
2024-12-03,49.7
2024-12-04,49.76
2024-12-05,49.93
2024-12-06,49.93
2024-12-08,49.96876
2024-12-09,50.45
2024-12-10,50.4
2024-12-11,50.59
2024-12-12,50.77
2024-12-13,50.77
2024-12-15,50.7674
2024-12-16,50.75
2024-12-17,50.73
2024-12-18,50.8
2024-12-19,50.87
2024-12-20,50.86
2024-12-22,50.86266
2024-12-23,51.03
2024-12-24,50.85
2024-12-25,50.86
2024-12-26,50.82
2024-12-27,50.82
2024-12-29,50.82272
2024-12-30,50.79
2024-12-31,50.79
2025-01-01,50.79
2025-01-02,50.75
2025-01-03,50.75
2025-01-05,50.77052
2025-01-06,50.6
2025-01-07,50.6
2025-01-08,50.55
2025-01-09,50.51
2025-01-10,50.51
2025-01-12,50.54178
2025-01-13,50.46
2025-01-14,50.4
2025-01-15,50.38
2025-01-16,50.35
2025-01-17,50.35
2025-01-19,50.34204
2025-01-20,50.27
2025-01-21,50.27
2025-01-22,50.26
2025-01-23,50.24
2025-01-24,50.24
2025-01-26,50.40701
2025-01-27,50.2
2025-01-28,50.17
2025-01-29,50.17
2025-01-30,50.18
2025-01-31,50.18
2025-02-02,50.77222
2025-02-03,50.31
2025-02-04,50.26
2025-02-05,50.27
2025-02-06,50.25
2025-02-07,50.25
2025-02-09,50.35032
2025-02-10,50.24
2025-02-11,50.4
2025-02-12,50.57
2025-02-13,50.59
2025-02-14,50.59
2025-02-16,50.61923
2025-02-17,50.55
2025-02-18,50.59
2025-02-19,50.58
2025-02-20,50.53
2025-02-21,50.5
2025-02-23,50.48307
2025-02-24,50.55
2025-02-25,50.53
2025-02-26,50.54
2025-02-27,50.61
2025-02-28,50.6
2025-03-02,50.44125
2025-03-03,50.6
2025-03-04,50.59
2025-03-05,50.62
2025-03-06,50.63
2025-03-07,50.63
2025-03-09,50.55651
2025-03-10,50.55
2025-03-11,50.55
2025-03-12,50.62
2025-03-13,50.6
2025-03-14,50.6
2025-03-16,50.63595
2025-03-17,50.46
2025-03-18,50.45
2025-03-19,50.59
2025-03-20,50.51
2025-03-21,50.51
2025-03-23,50.44461
2025-03-24,50.55
2025-03-25,50.52
2025-03-26,50.5
2025-03-27,50.52
