date,rate
2024-07-29,474.93
2024-07-30,473.67
2024-07-31,475.03
2024-08-01,475.12
2024-08-02,474.87
2024-08-05,479.78
2024-08-06,476.57
2024-08-07,477.57
2024-08-08,476.68
2024-08-09,478.37
2024-08-12,479.47
2024-08-13,480.07
2024-08-14,479.38
2024-08-15,478.77
2024-08-16,478.78
2024-08-19,477.67
2024-08-20,475.27
2024-08-21,478.27
2024-08-22,479.83
2024-08-23,483.47
2024-08-26,482.37
2024-08-27,480.37
2024-08-28,481.02
2024-08-29,481.42
2024-08-30,481.42
2024-09-02,482.22
2024-09-03,482.62
2024-09-04,482.62
2024-09-05,482.02
2024-09-06,479.12
2024-09-09,479.32
2024-09-10,477.18
2024-09-11,477.73
2024-09-12,479.32
2024-09-13,479.82
2024-09-16,480.88
2024-09-17,479.57
2024-09-18,478.98
2024-09-19,478.77
2024-09-20,479.67
2024-09-23,480.17
2024-09-24,478.57
2024-09-25,477.78
2024-09-26,478.88
2024-09-27,480.57
2024-09-30,480.52
2024-10-01,481.42
2024-10-02,483.38
2024-10-03,482.32
2024-10-04,481.32
2024-10-07,484.82
2024-10-08,487.12
2024-10-09,490.87
2024-10-10,492.82
2024-10-11,484.12
2024-10-14,485.63
2024-10-15,487.72
2024-10-16,487.98
2024-10-17,486.32
2024-10-18,482.62
2024-10-21,482.12
2024-10-22,484.72
2024-10-23,483.92
2024-10-24,485.92
2024-10-25,486.02
2024-10-28,490.48
2024-10-29,490.28
2024-10-30,488.23
2024-10-31,488.08
2024-11-01,488.83
2024-11-04,488.48
2024-11-05,489.02
2024-11-06,492.43
2024-11-07,491.12
2024-11-08,492.38
2024-11-11,495.32
2024-11-12,495.62
2024-11-13,492.22
2024-11-14,495.28
2024-11-15,496.32
2024-11-18,498.73
2024-11-19,496.62
2024-11-20,496.28
2024-11-21,495.68
2024-11-22,499.08
2024-11-25,498.92
2024-11-26,498.88
2024-11-27,502.32
2024-11-28,511.68
2024-11-29,515.33
2024-12-03,522.88
2024-12-04,524.33
2024-12-05,521.43
2024-12-06,507.83
2024-12-09,508.08
2024-12-10,510.73
2024-12-11,521.33
2024-12-12,522.73
2024-12-13,524.83
2024-12-16,524.83
2024-12-17,523.83
2024-12-18,522.28
2024-12-19,524.33
2024-12-20,524.78
2024-12-23,520.83
2024-12-24,517.13
2024-12-25,515.08
2024-12-26,518.33
2024-12-27,522.83
2024-12-30,524.23
2024-12-31,524.58
2025-01-01,524.58
2025-01-02,524.58
2025-01-03,524.58
2025-01-06,528.38
2025-01-07,528.38
2025-01-08,526.18
2025-01-09,525.73
2025-01-10,527.13
2025-01-13,530.63
2025-01-14,529.93
2025-01-15,528.83
2025-01-16,529.83
2025-01-17,530.23
2025-01-20,529.88
2025-01-21,529.88
2025-01-22,520.73
2025-01-23,520.33
2025-01-24,517.63
2025-01-27,516.03
2025-01-28,516.33
2025-01-29,517.28
2025-01-30,518.43
2025-01-31,518.43
2025-02-03,522.53
2025-02-04,519.83
2025-02-05,516.73
2025-02-06,513.68
2025-02-07,510.28
2025-02-10,507.98
2025-02-11,505.92
2025-02-12,504.62
2025-02-13,499.12
2025-02-14,497.68
2025-02-17,497.32
2025-02-18,499.82
2025-02-19,501.82
2025-02-20,501.78
2025-02-21,505.62
2025-02-24,500.02
2025-02-25,498.82
2025-02-26,500.98
2025-02-27,499.42
2025-02-28,498.02
2025-03-03,500.62
2025-03-04,499.12
2025-03-05,496.62
2025-03-06,497.12
2025-03-07,490.58
2025-03-10,490.58
2025-03-11,488.12
2025-03-12,491.82
2025-03-13,498.32
2025-03-14,501.03
2025-03-17,498.32
2025-03-18,497.82
2025-03-19,503.82
2025-03-20,502.82
2025-03-21,502.82
2025-03-24,502.82
2025-03-25,502.82
2025-03-26,500.52
2025-03-27,500.32
2025-03-28,503.88
2025-03-31,504.32
2025-04-01,503.28
2025-04-02,502.68
2025-04-03,501.68
2025-04-04,510.33
2025-04-07,520.83
2025-04-08,518.13
2025-04-09,520.33
2025-04-10,515.83
2025-04-11,518.03
2025-04-14,517.63
2025-04-15,517.93
2025-04-16,523.68
2025-04-17,522.93
2025-04-18,520.68
2025-04-21,519.58
2025-04-22,517.53
2025-04-23,518.58
2025-04-24,516.33
2025-04-25,514.43
2025-04-28,512.73
2025-04-29,511.33
2025-04-30,514.13
2025-05-01,514.13
2025-05-02,516.48
2025-05-05,516.33
2025-05-06,514.43
2025-05-07,514.43
2025-05-08,515.83
2025-05-09,515.83
2025-05-12,512.43
2025-05-13,508.48
2025-05-14,507.83
2025-05-15,510.28
2025-05-16,508.83
2025-05-19,510.98
2025-05-20,511.83
2025-05-21,508.98
2025-05-22,507.48
2025-05-23,511.48
2025-05-26,510.98
2025-05-27,511.88
2025-05-28,511.13
2025-05-29,508.38
2025-05-30,510.53
2025-06-02,511.48
2025-06-03,512.58
2025-06-04,509.98
2025-06-05,509.98
2025-06-06,509.98
2025-06-09,509.15
2025-06-10,508.35
2025-06-11,510.45
2025-06-12,511.4
2025-06-13,512.38
2025-06-16,513.77
2025-06-17,517.49
2025-06-18,519.14
2025-06-19,519
2025-06-20,520.91
2025-06-23,521.12
2025-06-24,517.86
2025-06-25,518.09
2025-06-26,517.89
2025-06-27,519.83
2025-06-30,519.09
2025-07-01,518.18
2025-07-02,517.92
2025-07-03,519
2025-07-04,519
2025-07-07,519.07
2025-07-08,519.04
2025-07-09,518.65
2025-07-10,518.82
2025-07-11,523.4
2025-07-14,523.85
2025-07-15,525.47
2025-07-16,528.22
2025-07-17,532.41
2025-07-18,532.2
2025-07-21,529.89
2025-07-22,534.22
2025-07-23,538.19
2025-07-24,543.07
2025-07-25,544.53
