date,rate
2024-07-28,929.67468
2024-07-29,931.5
2024-07-30,932
2024-07-31,930.74933
2024-08-01,931.75012
2024-08-02,933
2024-08-04,924.20648
2024-08-05,934.73749
2024-08-06,935
2024-08-07,935.5
2024-08-08,936
2024-08-09,936.5
2024-08-11,936.79864
2024-08-12,938.5
2024-08-13,939.73651
2024-08-14,940.245
2024-08-15,943.35821
2024-08-16,941
2024-08-18,938.07483
2024-08-19,943.24078
2024-08-20,943.74597
2024-08-21,943.99933
2024-08-22,945.25348
2024-08-23,945.5
2024-08-25,939.44367
2024-08-26,949.48321
2024-08-27,948.7417
2024-08-28,948.48315
2024-08-29,950.24164
2024-08-30,950.5
2024-09-01,953.23743
2024-09-02,952.5
2024-09-03,953
2024-09-04,953
2024-09-05,953.77942
2024-09-06,956
2024-09-08,955.46539
2024-09-09,957.75464
2024-09-10,957.49072
2024-09-11,957.73718
2024-09-12,959.99158
2024-09-13,959.5
2024-09-15,959.24548
2024-09-16,960.49512
2024-09-17,961.23639
2024-09-18,962.245
2024-09-19,962.5
2024-09-20,962
2024-09-22,962.63721
2024-09-23,965.22772
2024-09-24,965.25787
2024-09-25,968.49512
2024-09-26,967.2287
2024-09-27,966
2024-09-29,965.61249
2024-09-30,968.76343
2024-10-01,969.58728
2024-10-02,970.24072
2024-10-03,971.74597
2024-10-04,971
2024-10-06,976.6615
2024-10-07,974.5
2024-10-08,974.24939
2024-10-09,974.73608
2024-10-10,974.72717
2024-10-11,974.74
2024-10-13,975.84271
2024-10-14,979.5
2024-10-15,979
2024-10-16,980
2024-10-17,980.5
2024-10-18,980.5
2024-10-20,978.66052
2024-10-21,983
2024-10-22,983.5
2024-10-23,984.5
2024-10-24,985.5
2024-10-25,984.5
2024-10-26,984.5
2024-10-27,987.74023
2024-10-28,987
2024-10-29,987.5
2024-10-30,988.5
2024-10-31,990
2024-11-01,990
2024-11-03,989.63458
2024-11-04,992.5
2024-11-05,992.79492
2024-11-06,992.74042
2024-11-07,993.76709
2024-11-08,993.5
2024-11-10,1000.07465
2024-11-11,998.50909
2024-11-12,997.66052
2024-11-13,998.23627
2024-11-14,1003.237
2024-11-15,998
2024-11-17,998.33466
2024-11-18,998.26727
2024-11-19,1001.76465
2024-11-20,1002.74029
2024-11-21,1003.5
2024-11-22,1004
2024-11-24,997.8642
2024-11-25,1006
2024-11-26,1007
2024-11-27,1007.5
2024-11-28,1009
2024-11-29,1010
2024-12-01,1011.33203
2024-12-02,1011.24
2024-12-03,1011.5
2024-12-04,1012
2024-12-05,1012
2024-12-06,1012.5
2024-12-08,1014.31091
2024-12-09,1015.5
2024-12-10,1016
2024-12-11,1016.5
2024-12-12,1018
2024-12-13,1017.5
2024-12-15,1016.18524
2024-12-16,1020.5
2024-12-17,1020
2024-12-18,1022
2024-12-19,1021.5
2024-12-20,1022
2024-12-22,1017.88007
2024-12-23,1025.5
2024-12-24,1025.5
2024-12-25,1025.5
2024-12-26,1028.5
2024-12-27,1028.5
2024-12-29,1029.8971
2024-12-30,1030
2024-12-31,1030
2025-01-01,1030
2025-01-02,1031.7
2025-01-03,1032
2025-01-05,1032.49548
2025-01-06,1034.5
2025-01-07,1035
2025-01-08,1035.5
2025-01-09,1036.7
2025-01-10,1036.5
2025-01-12,1036.90759
2025-01-13,1039
2025-01-14,1040
2025-01-15,1040.5
2025-01-16,1041.2
2025-01-17,1041.5
2025-01-19,1044.08472
2025-01-20,1045.5
