date,rate
2015-10-09,0.94893
2015-10-12,0.95617
2015-10-13,0.93922
2015-10-14,0.94377
2015-10-15,0.94266
2015-10-16,0.93837
2015-10-19,0.94315
2015-10-20,0.94303
2015-10-21,0.94739
2015-10-22,0.94531
2015-10-23,0.95008
2015-10-26,0.953
2015-10-27,0.9545
2015-10-28,0.93754
2015-10-29,0.93176
2015-10-30,0.93302
2015-11-02,0.93566
2015-11-03,0.93825
2015-11-04,0.939
2015-11-05,0.94058
2015-11-06,0.937
2015-11-09,0.9352
2015-11-10,0.93287
2015-11-11,0.93736
2015-11-12,0.9467
2015-11-13,0.95007
2015-11-16,0.9458
2015-11-17,0.94652
2015-11-18,0.94567
2015-11-19,0.95541
2015-11-20,0.96553
2015-11-23,0.96153
2015-11-24,0.96596
2015-11-25,0.96426
2015-11-26,0.9592
2015-11-27,0.96156
2015-11-30,0.96445
2015-12-01,0.97812
2015-12-02,0.97444
2015-12-03,0.97842
2015-12-04,0.97973
2015-12-07,0.98049
2015-12-08,0.98031
2015-12-09,0.98051
2015-12-10,0.99024
2015-12-11,0.98845
2015-12-14,0.99441
2015-12-15,0.98908
2015-12-16,0.99273
2015-12-17,0.99164
2015-12-18,1.00111
2015-12-21,1.00289
2015-12-22,1.00628
2015-12-23,1.00138
2015-12-24,1.00445
2015-12-25,1.00679
2015-12-28,1.00787
2015-12-29,1.00875
2015-12-30,1.00963
2015-12-31,1.01031
2016-01-01,1.00718
2016-01-04,0.99987
2016-01-05,1.00092
2016-01-06,0.99449
2016-01-07,0.99071
2016-01-08,0.98484
2016-01-11,0.99409
2016-01-12,0.99538
2016-01-13,0.99785
2016-01-14,1.00241
2016-01-15,0.99697
2016-01-18,1.00056
2016-01-19,1.00665
2016-01-20,1.00351
2016-01-21,0.99897
2016-01-22,0.98835
2016-01-25,0.99261
2016-01-26,0.98749
2016-01-27,0.98992
2016-01-28,0.99439
2016-01-29,0.9888
2016-02-01,0.99116
2016-02-02,0.98675
2016-02-03,0.98705
2016-02-04,0.98921
2016-02-05,0.98231
2016-02-08,0.98682
2016-02-09,0.9813
2016-02-10,0.98896
2016-02-11,0.99113
2016-02-12,0.984
2016-02-15,0.98688
2016-02-16,0.98641
2016-02-17,0.98188
2016-02-18,0.98179
2016-02-19,0.98328
2016-02-22,0.99068
2016-02-23,0.99049
2016-02-24,0.98497
2016-02-25,0.97791
2016-02-26,0.96227
2016-02-29,0.96736
2016-03-01,0.96326
2016-03-02,0.9782
2016-03-03,0.98541
2016-03-04,0.98972
2016-03-07,0.99194
2016-03-08,0.99625
2016-03-09,0.9897
2016-03-10,0.99376
2016-03-11,0.99878
2016-03-14,0.99677
2016-03-15,0.99657
2016-03-16,0.98958
2016-03-17,0.99254
2016-03-18,0.98812
