date,rate
2016-03-18,0.6746
2016-03-21,0.6742
2016-03-22,0.6795
2016-03-23,0.6735
2016-03-24,0.6739
2016-03-25,0.6724
2016-03-28,0.674
2016-03-29,0.6755
2016-03-30,0.6765
2016-03-31,0.6729
2016-04-01,0.6735
2016-04-04,0.6677
2016-04-05,0.6629
2016-04-06,0.6666
2016-04-07,0.6596
2016-04-08,0.6627
2016-04-11,0.6659
2016-04-12,0.6749
2016-04-13,0.6788
2016-04-14,0.683
2016-04-15,0.6845
2016-04-18,0.685
2016-04-19,0.6881
2016-04-20,0.6899
2016-04-21,0.6855
2016-04-22,0.6861
2016-04-25,0.6847
2016-04-26,0.6857
2016-04-27,0.6702
2016-04-28,0.6717
2016-04-29,0.6637
2016-05-02,0.6646
2016-05-03,0.651
2016-05-04,0.6492
2016-05-05,0.6546
2016-05-06,0.6461
2016-05-09,0.6427
2016-05-10,0.6475
2016-05-11,0.6456
2016-05-12,0.6439
2016-05-13,0.6427
2016-05-16,0.644
2016-05-17,0.6474
2016-05-18,0.6446
2016-05-19,0.6452
2016-05-20,0.6435
2016-05-23,0.6439
2016-05-24,0.6447
2016-05-25,0.6453
2016-05-26,0.6456
2016-05-27,0.6462
2016-05-30,0.6443
2016-05-31,0.6498
2016-06-01,0.6485
2016-06-02,0.6483
2016-06-03,0.6482
2016-06-06,0.6488
2016-06-07,0.6567
2016-06-08,0.6557
2016-06-09,0.6568
2016-06-10,0.6552
2016-06-13,0.6542
2016-06-14,0.6566
2016-06-15,0.658
2016-06-16,0.6559
2016-06-17,0.6561
2016-06-20,0.6592
2016-06-21,0.6627
2016-06-22,0.664
2016-06-23,0.6683
2016-06-24,0.6713
2016-06-27,0.6652
2016-06-28,0.6676
2016-06-29,0.6698
2016-06-30,0.6708
2016-07-01,0.6734
2016-07-04,0.6759
2016-07-05,0.6737
2016-07-06,0.6774
2016-07-07,0.6765
2016-07-08,0.6846
2016-07-11,0.681
2016-07-12,0.6891
2016-07-13,0.686
2016-07-14,0.6863
2016-07-15,0.6866
2016-07-18,0.6855
2016-07-19,0.6808
2016-07-20,0.6789
2016-07-21,0.68
2016-07-22,0.6802
2016-07-25,0.6794
2016-07-26,0.6828
2016-07-27,0.6774
2016-07-28,0.6774
2016-07-29,0.6799
2016-08-01,0.6751
2016-08-02,0.6778
2016-08-03,0.6807
2016-08-04,0.6854
2016-08-05,0.6874
2016-08-08,0.6897
2016-08-09,0.69
2016-08-10,0.6892
2016-08-11,0.6913
2016-08-12,0.6851
2016-08-15,0.6861
2016-08-16,0.6823
2016-08-17,0.6782
2016-08-18,0.6769
2016-08-19,0.6735
2016-08-22,0.6731
2016-08-23,0.6737
2016-08-24,0.6759
2016-08-25,0.6751
2016-08-26,0.6754
2016-08-29,0.6765
2016-08-30,0.6742
