date,rate
2015-10-12,92.326
2015-10-13,91.943
2015-10-14,91.927
2015-10-15,92.414
2015-10-16,92.468
2015-10-19,91.79
2015-10-20,92.239
2015-10-21,91.291
2015-10-22,92.12
2015-10-23,92.252
2015-10-26,91.957
2015-10-27,90.75
2015-10-28,91.772
2015-10-29,91.877
2015-10-30,92.16
2015-11-02,92.153
2015-11-03,92.66
2015-11-04,92.385
2015-11-05,92.433
2015-11-06,92.55
2015-11-09,92.667
2015-11-10,92.779
2015-11-11,92.619
2015-11-12,92.255
2015-11-13,92.013
2015-11-16,92.45
2015-11-17,92.669
2015-11-18,92.826
2015-11-19,92.466
2015-11-20,91.975
2015-11-23,91.955
2015-11-24,92.084
2015-11-25,92.303
2015-11-26,92.233
2015-11-27,91.775
2015-11-30,92.285
2015-12-01,91.971
2015-12-02,92.319
2015-12-03,91.851
2015-12-04,92.067
2015-12-07,91.303
2015-12-08,90.471
2015-12-09,89.641
2015-12-10,89.212
2015-12-11,87.92
2015-12-14,88.088
2015-12-15,88.557
2015-12-16,88.741
2015-12-17,87.904
2015-12-18,86.797
2015-12-21,86.817
2015-12-22,86.928
2015-12-23,87.253
2015-12-24,86.92
2015-12-25,86.781
2015-12-28,86.581
2015-12-29,87.042
2015-12-30,86.805
2015-12-31,86.829
2016-01-01,86.865
2016-01-04,85.651
2016-01-05,85.189
2016-01-06,84.141
2016-01-07,83.27
2016-01-08,82.717
2016-01-11,82.768
2016-01-12,82.471
2016-01-13,82
2016-01-14,82.302
2016-01-15,80.479
2016-01-18,80.683
2016-01-19,80.706
2016-01-20,80.607
2016-01-21,82.538
2016-01-22,84.063
2016-01-25,82.781
2016-01-26,83.872
2016-01-27,84.149
2016-01-28,84.619
2016-01-29,86.776
2016-02-01,86.723
2016-02-02,85.23
2016-02-03,85.593
2016-02-04,84.957
2016-02-05,84.009
2016-02-08,82.875
2016-02-09,82.943
2016-02-10,81.457
2016-02-11,80.875
2016-02-12,81.809
2016-02-15,82.714
2016-02-16,82.356
2016-02-17,83.341
2016-02-18,82.522
2016-02-19,81.828
2016-02-22,82.341
2016-02-23,81.22
2016-02-24,81.763
2016-02-25,83.354
2016-02-26,84.38
2016-02-29,82.977
2016-03-01,84.96
2016-03-02,84.579
2016-03-03,84.751
2016-03-04,85.469
2016-03-07,85.277
2016-03-08,83.941
2016-03-09,85.514
2016-03-10,84.839
2016-03-11,86.307
2016-03-14,85.757
2016-03-15,84.785
2016-03-16,85.875
2016-03-17,85.772
2016-03-18,85.807
2016-03-21,85.639
2016-03-22,86.05
2016-03-23,85.042
2016-03-24,85.172
2016-03-25,85.146
2016-03-28,86.041
2016-03-29,86.296
2016-03-30,86.692
2016-03-31,86.656
2016-04-01,85.874
2016-04-04,85.119
2016-04-05,83.906
2016-04-06,83.819
2016-04-07,82.396
2016-04-08,83.266
2016-04-11,83.614
2016-04-12,84.991
2016-04-13,85.381
2016-04-14,85.062
2016-04-15,84.583
2016-04-18,85.075
2016-04-19,86.063
2016-04-20,86.727
2016-04-21,85.973
2016-04-22,88.304
2016-04-25,87.697
2016-04-26,88.265
2016-04-27,88.583
2016-04-28,86.137
2016-04-29,84.737
2016-05-02,84.944
2016-05-03,84.062
2016-05-04,83.142
2016-05-05,83.409
2016-05-06,82.984
2016-05-09,83.646
2016-05-10,84.618
