date,rate
2016-09-05,7.4334
2016-09-06,7.5007
2016-09-07,7.4783
2016-09-08,7.4999
2016-09-09,7.4817
2016-09-11,7.46
2016-09-12,7.4985
2016-09-13,7.4812
2016-09-14,7.4955
2016-09-15,7.4915
2016-09-16,7.4423
2016-09-18,7.4351
2016-09-19,7.4437
2016-09-20,7.4296
2016-09-21,7.4557
2016-09-22,7.4602
2016-09-23,7.4877
2016-09-25,7.433
2016-09-26,7.4912
2016-09-27,7.4722
2016-09-28,7.4819
2016-09-29,7.4329
2016-09-30,7.4959
2016-10-02,7.406
2016-10-03,7.4715
2016-10-04,7.4685
2016-10-05,7.4689
2016-10-06,7.4262
2016-10-07,7.4699
2016-10-09,7.4652
2016-10-10,7.4621
2016-10-11,7.4255
2016-10-12,7.3893
2016-10-13,7.4248
2016-10-14,7.3776
2016-10-16,7.3732
2016-10-17,7.4063
2016-10-18,7.3902
2016-10-19,7.3822
2016-10-20,7.3606
2016-10-21,7.3607
2016-10-23,7.3525
2016-10-24,7.3563
2016-10-25,7.3724
2016-10-26,7.3766
2016-10-27,7.3841
2016-10-28,7.4418
2016-10-30,7.3562
2016-10-31,7.4231
2016-11-01,7.4717
2016-11-02,7.4869
2016-11-03,7.5004
2016-11-04,7.5281
2016-11-06,7.5221
2016-11-07,7.4751
2016-11-08,7.466
2016-11-09,7.3917
2016-11-10,7.3976
2016-11-11,7.3901
2016-11-13,7.3901
2016-11-14,7.349
2016-11-15,7.3447
2016-11-16,7.2696
2016-11-17,7.2957
2016-11-18,7.2909
2016-11-20,7.2844
2016-11-21,7.3181
2016-11-22,7.3161
2016-11-23,7.286
2016-11-24,7.2968
2016-11-25,7.3216
2016-11-27,7.2722
2016-11-28,7.325
2016-11-29,7.3344
2016-11-30,7.2811
2016-12-01,7.3345
2016-12-02,7.331
2016-12-04,7.2745
2016-12-05,8.0424
2016-12-06,7.3668
2016-12-07,7.3883
2016-12-08,7.2947
2016-12-09,7.2906
2016-12-11,7.2442
2016-12-12,7.3393
2016-12-13,7.3248
2016-12-14,7.2503
2016-12-15,7.2245
2016-12-16,7.2697
2016-12-18,7.2125
2016-12-19,7.2242
2016-12-20,7.2112
2016-12-21,7.2272
2016-12-22,7.2459
2016-12-23,7.2541
2016-12-25,7.2528
2016-12-26,7.2528
2016-12-27,7.2606
2016-12-28,7.2409
2016-12-29,7.3469
2016-12-30,7.3022
2017-01-01,7.2752
2017-01-02,7.2527
2017-01-03,7.2419
2017-01-04,7.2673
2017-01-05,7.2962
2017-01-06,7.2834
2017-01-08,7.2194
2017-01-09,7.3351
2017-01-10,7.2939
2017-01-11,7.3395
2017-01-12,7.3043
2017-01-13,7.3412
2017-01-15,7.2861
2017-01-16,7.3078
2017-01-17,7.3251
2017-01-18,7.2599
2017-01-19,7.3123
2017-01-20,7.3552
2017-01-22,7.3512
2017-01-23,7.3659
2017-01-24,7.348
2017-01-25,7.3902
2017-01-26,7.3389
2017-01-27,7.3564
2017-01-29,7.2846
2017-01-30,7.3582
2017-01-31,7.4215
2017-02-01,7.3998
2017-02-02,7.3953
2017-02-03,7.402
2017-02-05,7.3996
2017-02-06,7.3643
2017-02-07,7.3424
2017-02-08,7.3388
2017-02-09,7.3113
2017-02-10,7.3168
2017-02-12,7.2722
2017-02-13,7.2813
2017-02-14,7.254
2017-02-15,7.2744
2017-02-16,7.3043
2017-02-17,7.2806
2017-02-19,7.276
2017-02-20,7.2877
2017-02-21,7.2461
2017-02-22,7.2433
2017-02-23,7.2571
2017-02-24,7.244
2017-02-26,7.2331
2017-02-27,7.2621
2017-02-28,7.2485
2017-03-01,7.2414
2017-03-02,7.2272
2017-03-03,7.3229
2017-03-05,7.3141
2017-03-06,7.286
2017-03-07,7.2856
2017-03-08,7.2806
2017-03-09,7.2994
2017-03-10,7.3689
2017-03-12,7.2822
2017-03-13,7.3543
2017-03-14,7.3281
2017-03-15,7.4143
2017-03-16,7.4202
2017-03-17,7.4075
2017-03-19,7.407
2017-03-20,7.4056
2017-03-21,7.4341
2017-03-22,7.4176
2017-03-23,7.4157
2017-03-24,7.4285
2017-03-26,7.4244
2017-03-27,7.4536
2017-03-28,7.4323
2017-03-29,7.4026
2017-03-30,7.3524
2017-03-31,7.3404
2017-04-02,7.3316
2017-04-03,7.3354
2017-04-04,7.3437
2017-04-05,7.3477
2017-04-06,7.3323
2017-04-07,7.3074
2017-04-09,7.2975
2017-04-10,7.3055
2017-04-11,7.3024
2017-04-12,7.3436
2017-04-13,7.302
2017-04-14,7.3068
2017-04-16,7.302
2017-04-17,7.302
2017-04-18,7.3739
