date,rate
2016-05-09,123.379
2016-05-10,124.272
2016-05-11,123.886
2016-05-12,123.963
2016-05-13,122.779
2016-05-16,123.396
2016-05-17,123.442
2016-05-18,123.588
2016-05-19,123.148
2016-05-20,123.59
2016-05-23,122.564
2016-05-24,122.573
2016-05-25,122.914
2016-05-26,122.762
2016-05-27,122.482
2016-05-30,123.613
2016-05-31,123.273
2016-06-01,122.527
2016-06-02,121.383
2016-06-03,121.1
2016-06-06,122.095
2016-06-07,121.819
2016-06-08,121.873
2016-06-09,121.084
2016-06-10,120.31
2016-06-13,119.72
2016-06-14,118.851
2016-06-15,119.249
2016-06-16,117.206
2016-06-17,117.51
2016-06-20,117.553
2016-06-21,117.845
2016-06-22,118.64
2016-06-23,120.64
2016-06-24,113.65
2016-06-27,112.333
2016-06-28,113.617
2016-06-29,114.442
2016-06-30,114.53
2016-07-01,114.18
2016-07-04,114.296
2016-07-05,112.428
2016-07-06,112.193
2016-07-07,111.348
2016-07-08,111.1
2016-07-11,113.55
2016-07-12,115.829
2016-07-13,115.526
2016-07-14,116.965
2016-07-15,115.698
2016-07-18,117.65
2016-07-19,116.991
2016-07-20,117.982
2016-07-21,116.785
2016-07-22,116.578
2016-07-25,116.284
2016-07-26,115.055
2016-07-27,116.27
2016-07-28,116.096
2016-07-29,114.05
2016-08-01,114.344
2016-08-02,113.353
2016-08-03,112.932
2016-08-04,112.608
2016-08-05,112.878
2016-08-08,113.564
2016-08-09,113.272
2016-08-10,113.179
2016-08-11,113.491
2016-08-12,113.09
2016-08-15,113.197
2016-08-16,113.084
2016-08-17,112.929
2016-08-18,113.534
2016-08-19,113.558
2016-08-22,113.596
2016-08-23,113.365
2016-08-24,113.145
2016-08-25,113.471
2016-08-26,114.03
2016-08-29,114.11
2016-08-30,114.758
2016-08-31,115.315
2016-09-01,115.512
2016-09-02,116.028
2016-09-05,115.307
2016-09-06,114.804
2016-09-07,114.328
2016-09-08,115.327
2016-09-09,115.3
2016-09-12,114.473
2016-09-13,114.975
2016-09-14,115.2
2016-09-15,114.537
2016-09-16,114.138
2016-09-19,113.837
2016-09-20,113.458
2016-09-21,112.281
2016-09-22,113.025
2016-09-23,113.48
2016-09-26,112.885
2016-09-27,112.581
2016-09-28,113.063
2016-09-29,113.567
2016-09-30,113.928
2016-10-03,114.017
2016-10-04,115.22
2016-10-05,115.968
2016-10-06,115.868
2016-10-07,115.288
2016-10-10,115.48
2016-10-11,114.42
2016-10-12,114.824
2016-10-13,114.538
2016-10-14,114.258
2016-10-17,114.265
2016-10-18,114.039
2016-10-19,113.488
2016-10-20,113.645
2016-10-21,113.018
2016-10-24,113.418
2016-10-25,113.425
2016-10-26,114.042
2016-10-27,114.672
2016-10-28,115.04
2016-10-31,115.044
2016-11-01,114.982
2016-11-02,114.687
2016-11-03,114.299
2016-11-04,114.799
2016-11-07,115.448
2016-11-08,115.744
2016-11-09,115.35
2016-11-10,116.226
2016-11-11,115.78
2016-11-14,116.331
2016-11-15,116.91
2016-11-16,116.489
2016-11-17,117.094
2016-11-18,117.408
2016-11-21,117.795
2016-11-22,118.076
2016-11-23,118.674
2016-11-24,119.607
2016-11-25,119.882
2016-11-28,118.665
2016-11-29,119.803
2016-11-30,121.18
2016-12-01,121.693
2016-12-02,121.05
2016-12-05,122.453
2016-12-06,122.212
2016-12-07,122.236
2016-12-08,121.115
2016-12-09,121.758
2016-12-12,122.191
2016-12-13,122.454
2016-12-14,123.413
2016-12-15,123.187
2016-12-16,123.2
2016-12-19,121.79
2016-12-20,122.483
2016-12-21,122.486
2016-12-22,122.641
2016-12-23,122.608
2016-12-26,122.438
2016-12-27,122.841
2016-12-28,121.99
2016-12-29,122.266
2016-12-30,123.02
2017-01-02,122.747
2017-01-03,122.498
2017-01-04,122.964
2017-01-05,122.388
2017-01-06,123.17
2017-01-09,122.689
2017-01-10,122.266
2017-01-11,122.163
2017-01-12,121.76
2017-01-13,121.84
2017-01-16,120.896
2017-01-17,120.801
2017-01-18,121.796
2017-01-19,122.611
2017-01-20,122.68
2017-01-23,121.234
2017-01-24,122.195
2017-01-25,121.82
2017-01-26,122.32
2017-01-27,123.188
2017-01-30,121.714
2017-01-31,121.629
2017-02-01,121.965
2017-02-02,121.458
2017-02-03,121.42
2017-02-06,120.154
2017-02-07,119.934
2017-02-08,119.619
2017-02-09,120.698
2017-02-10,120.468
2017-02-13,120.543
2017-02-14,120.914
2017-02-15,121.039
2017-02-16,120.839
2017-02-17,119.798
2017-02-20,120.095
2017-02-21,119.8
2017-02-22,119.613
2017-02-23,119.244
2017-02-24,118.358
2017-02-27,119.339
2017-02-28,119.312
2017-03-01,120.034
2017-03-02,120.176
2017-03-03,121.108
2017-03-06,120.562
2017-03-07,120.449
2017-03-08,120.617
2017-03-09,121.702
2017-03-10,122.568
2017-03-13,122.428
2017-03-14,121.675
2017-03-15,121.733
2017-03-16,122.097
2017-03-17,121.018
2017-03-20,120.785
2017-03-21,120.555
2017-03-22,120.128
2017-03-23,119.715
2017-03-24,120.184
2017-03-27,120.181
2017-03-28,120.172
2017-03-29,119.597
2017-03-30,119.466
2017-03-31,118.808
2017-04-03,118.265
2017-04-04,118.35
2017-04-05,117.893
2017-04-06,117.977
2017-04-07,117.698
2017-04-10,117.372
2017-04-11,116.284
2017-04-12,116.317
2017-04-13,115.867
2017-04-14,115.148
2017-04-17,116.025
2017-04-18,116.34
2017-04-19,116.703
2017-04-20,117.21
2017-04-21,117.028
2017-04-24,119.351
2017-04-25,121.3
2017-04-26,121.3
2017-04-27,120.947
2017-04-28,121.488
2017-05-01,122.085
2017-05-02,122.413
2017-05-03,122.73
2017-05-04,123.55
2017-05-05,123.96
2017-05-08,123.747
2017-05-09,123.752
2017-05-10,124.22
2017-05-11,123.584
2017-05-12,123.86
2017-05-15,124.792
2017-05-16,125.169
2017-05-17,123.83
2017-05-18,123.847
2017-05-19,124.59
2017-05-22,124.858
2017-05-23,125.049
2017-05-24,125.215
2017-05-25,125.324
2017-05-26,124.5
2017-05-29,123.89
2017-05-30,123.869
2017-05-31,124.564
2017-06-01,124.962
2017-06-02,124.54
2017-06-05,124.367
2017-06-06,123.391
2017-06-07,123.541
2017-06-08,123.254
2017-06-09,123.548
2017-06-12,123.023
2017-06-13,123.35
2017-06-14,122.572
2017-06-15,123.57
2017-06-16,123.86
2017-06-19,124.494
2017-06-20,124.017
2017-06-21,124.361
2017-06-22,124.082
2017-06-23,124.47
2017-06-26,125.065
2017-06-27,127.314
2017-06-28,127.807
2017-06-29,128.105
2017-06-30,128.488
2017-07-03,128.799
2017-07-04,128.349
2017-07-05,128.429
2017-07-06,129.205
2017-07-07,129.848
2017-07-10,129.992
2017-07-11,130.642
2017-07-12,129.351
2017-07-13,129.186
2017-07-14,129.008
2017-07-17,129.23
2017-07-18,129.452
2017-07-19,128.981
2017-07-20,130.09
2017-07-21,129.628
