date,rate
2015-09-01,1.32454
2015-09-02,1.32635
2015-09-03,1.31859
2015-09-04,1.3281
2015-09-07,1.32995
2015-09-08,1.32067
2015-09-09,1.32766
2015-09-10,1.3227
2015-09-11,1.32609
2015-09-14,1.32574
2015-09-15,1.32455
2015-09-16,1.31709
2015-09-17,1.31685
2015-09-18,1.3226
2015-09-21,1.3247
2015-09-22,1.3272
2015-09-23,1.33262
2015-09-24,1.3337
2015-09-25,1.3332
2015-09-28,1.33898
2015-09-29,1.34204
2015-09-30,1.3325
2015-10-01,1.32444
2015-10-02,1.315
2015-10-05,1.30874
2015-10-06,1.30367
2015-10-07,1.30571
2015-10-08,1.30064
2015-10-09,1.2938
2015-10-12,1.30006
2015-10-13,1.30229
2015-10-14,1.29283
2015-10-15,1.28678
2015-10-16,1.2919
2015-10-19,1.30173
2015-10-20,1.29866
2015-10-21,1.31318
2015-10-22,1.30981
2015-10-23,1.31637
2015-10-26,1.31592
2015-10-27,1.32691
2015-10-28,1.3191
2015-10-29,1.3162
2015-10-30,1.308
2015-11-02,1.31004
2015-11-03,1.30644
2015-11-04,1.31514
2015-11-05,1.3163
2015-11-06,1.33045
2015-11-09,1.32783
2015-11-10,1.32772
2015-11-11,1.32561
2015-11-12,1.32908
2015-11-13,1.3318
2015-11-16,1.33313
2015-11-17,1.33163
2015-11-18,1.331
2015-11-19,1.32938
2015-11-20,1.33467
2015-11-23,1.33595
2015-11-24,1.33012
2015-11-25,1.32915
2015-11-26,1.32927
2015-11-27,1.33717
2015-11-30,1.33422
2015-12-01,1.33577
2015-12-02,1.33514
2015-12-03,1.33509
2015-12-04,1.33581
2015-12-07,1.35096
2015-12-08,1.35809
2015-12-09,1.35661
2015-12-10,1.36336
2015-12-11,1.3755
2015-12-14,1.37233
2015-12-15,1.37362
2015-12-16,1.37805
2015-12-17,1.39343
2015-12-18,1.39555
2015-12-21,1.39631
2015-12-22,1.39212
2015-12-23,1.38538
2015-12-24,1.38284
2015-12-25,1.3799
2015-12-28,1.38999
2015-12-29,1.38417
2015-12-30,1.38802
2015-12-31,1.38325
2016-01-04,1.39272
2016-01-05,1.39799
2016-01-06,1.40776
2016-01-07,1.41199
2016-01-08,1.41713
2016-01-11,1.42175
2016-01-12,1.42712
2016-01-13,1.4342
2016-01-14,1.4353
2016-01-15,1.4541
2016-01-18,1.4547
2016-01-19,1.45699
2016-01-20,1.45083
2016-01-21,1.4267
2016-01-22,1.4115
2016-01-25,1.42915
2016-01-26,1.41194
2016-01-27,1.40906
2016-01-28,1.40353
2016-01-29,1.3971
2016-02-01,1.39506
2016-02-02,1.4047
2016-02-03,1.3789
2016-02-04,1.37537
2016-02-05,1.3916
2016-02-08,1.39315
2016-02-09,1.38741
2016-02-10,1.39269
2016-02-11,1.39139
2016-02-12,1.385
2016-02-15,1.38307
2016-02-16,1.38668
2016-02-17,1.36887
2016-02-18,1.37265
2016-02-19,1.37645
2016-02-22,1.37106
2016-02-23,1.37851
2016-02-24,1.37012
2016-02-25,1.35419
2016-02-26,1.3512
2016-02-29,1.3532
2016-03-01,1.34195
2016-03-02,1.3427
2016-03-03,1.34126
2016-03-04,1.33145
2016-03-07,1.32899
2016-03-08,1.34199
2016-03-09,1.32437
2016-03-10,1.33354
2016-03-11,1.3222
2016-03-14,1.32664
2016-03-15,1.33491
2016-03-16,1.31275
2016-03-17,1.29846
2016-03-18,1.30025
2016-03-21,1.30905
2016-03-22,1.30492
2016-03-23,1.32127
2016-03-24,1.3239
2016-03-25,1.3273
2016-03-28,1.31821
2016-03-29,1.3067
2016-03-30,1.29705
2016-03-31,1.2983
2016-04-01,1.30034
