date,rate
2024-07-29,4061.97
2024-07-30,4079.29
2024-07-31,4047.47
2024-08-01,4083.53
2024-08-02,4130.6
2024-08-05,4152.61
2024-08-06,4138.95
2024-08-07,4135.47
2024-08-08,4055.92
2024-08-09,4066.48
2024-08-12,4049.14
2024-08-13,4033.87
2024-08-14,4013.79
2024-08-15,4008
2024-08-16,4028
2024-08-19,4027.08
2024-08-20,4007.47
2024-08-21,4029.84
2024-08-22,4062.8
2024-08-23,4022.87
2024-08-26,4024.5
2024-08-27,4033.2
2024-08-28,4098.47
2024-08-29,4115.47
2024-08-30,4176.24
2024-09-02,4158.25
2024-09-03,4185.65
2024-09-04,4175.07
2024-09-05,4159.9
2024-09-06,4173.95
2024-09-09,4237.6
2024-09-10,4277.15
2024-09-11,4267
2024-09-12,4208.39
2024-09-13,4180.5
2024-09-16,4235.25
2024-09-17,4202.97
2024-09-18,4167.47
2024-09-19,4158.97
2024-09-20,4152.96
2024-09-23,4154.75
2024-09-24,4153.88
2024-09-25,4195.5
2024-09-26,4162.84
2024-09-27,4172.8
2024-09-30,4208.48
2024-10-01,4220.35
2024-10-02,4183.25
2024-10-03,4184
2024-10-04,4164.4
2024-10-07,4214.28
2024-10-08,4223.51
2024-10-09,4232
2024-10-10,4198
2024-10-11,4208.28
2024-10-14,4198.98
2024-10-15,4243.47
2024-10-16,4254.36
2024-10-17,4248.47
2024-10-18,4265.92
2024-10-21,4266.47
2024-10-22,4266.16
2024-10-23,4318.48
2024-10-24,4293.88
2024-10-25,4325.99
2024-10-28,4333
2024-10-29,4393.59
2024-10-30,4412.54
2024-10-31,4425.62
2024-11-01,4434.72
2024-11-04,4412.97
2024-11-05,4406.37
2024-11-06,4411.47
2024-11-07,4299.83
2024-11-08,4358.46
2024-11-11,4358.46
2024-11-12,4444.57
2024-11-13,4477.47
2024-11-14,4484.4
2024-11-15,4422.72
2024-11-18,4398.85
2024-11-19,4394.85
2024-11-20,4384.92
2024-11-21,4384.97
2024-11-22,4417.47
2024-11-25,4379.47
2024-11-26,4400.37
2024-11-27,4384.47
2024-11-28,4415.94
2024-11-29,4431.98
2024-12-02,4455.9
2024-12-03,4436.5
2024-12-04,4437.47
2024-12-05,4407.47
2024-12-06,4403.44
2024-12-09,4370.63
2024-12-10,4368.6
2024-12-11,4336.97
2024-12-12,4344.94
2024-12-13,4314.67
2024-12-16,4323.97
2024-12-17,4343.97
2024-12-18,4392.47
2024-12-19,4375.95
2024-12-20,4381.75
2024-12-23,4409.47
2024-12-24,4369
2024-12-25,4369
2024-12-26,4392.97
2024-12-27,4404.5
2024-12-30,4417.95
2024-12-31,4401.94
2025-01-01,4401.94
2025-01-02,4388.97
2025-01-03,4347.47
