date,rate
2016-01-18,6.85018
2016-01-19,6.8397
2016-01-20,6.8629
2016-01-21,6.87201
2016-01-22,6.9097
2016-01-24,6.90969
2016-01-25,6.87611
2016-01-26,6.8706
2016-01-27,6.8427
2016-01-28,6.82294
2016-01-29,6.8882
2016-01-31,6.89242
2016-02-01,6.84761
2016-02-02,6.83273
2016-02-03,6.72778
2016-02-04,6.66352
2016-02-05,6.6924
2016-02-07,6.69612
2016-02-08,6.6702
2016-02-09,6.611
2016-02-10,6.61639
2016-02-11,6.59436
2016-02-12,6.6312
2016-02-14,6.64951
2016-02-15,6.67845
2016-02-16,6.69631
2016-02-17,6.71189
2016-02-18,6.71756
2016-02-19,6.705
2016-02-21,6.70839
2016-02-22,6.767
2016-02-23,6.76845
2016-02-24,6.77619
2016-02-25,6.76817
2016-02-26,6.8193
2016-02-28,6.82893
2016-02-29,6.85196
2016-03-01,6.85863
2016-03-02,6.8624
2016-03-03,6.81333
2016-03-04,6.7815
2016-03-06,6.7853
2016-03-07,6.7748
2016-03-08,6.78134
2016-03-09,6.7898
2016-03-10,6.67454
2016-03-11,6.6893
2016-03-13,6.67927
2016-03-14,6.7179
2016-03-15,6.71215
2016-03-16,6.64544
2016-03-17,6.58563
2016-03-18,6.613
2016-03-20,6.60973
2016-03-21,6.63378
2016-03-22,6.64129
2016-03-23,6.66919
2016-03-24,6.67515
2016-03-25,6.6743
2016-03-27,6.68138
2016-03-28,6.65476
2016-03-29,6.60151
2016-03-30,6.5747
2016-03-31,6.5481
2016-04-01,6.5418
2016-04-03,6.5369
2016-04-04,6.53455
2016-04-05,6.53946
2016-04-06,6.52655
2016-04-07,6.5438
2016-04-08,6.5287
2016-04-10,6.52467
2016-04-11,6.52182
2016-04-12,6.53734
2016-04-13,6.59828
2016-04-14,6.6017
2016-04-15,6.5944
2016-04-17,6.5862
2016-04-18,6.58084
2016-04-19,6.55134
2016-04-20,6.58224
2016-04-21,6.58956
2016-04-22,6.6291
2016-04-24,6.62297
2016-04-25,6.6039
2016-04-26,6.5882
2016-04-27,6.56944
2016-04-28,6.55352
2016-04-29,6.5004
2016-05-01,6.49165
2016-05-02,6.45555
2016-05-03,6.46884
2016-05-04,6.47345
2016-05-05,6.52355
2016-05-06,6.5223
2016-05-08,6.53025
2016-05-09,6.53327
2016-05-10,6.54083
2016-05-11,6.5119
2016-05-12,6.54008
2016-05-13,6.5766
2016-05-15,6.57233
2016-05-16,6.57398
2016-05-17,6.57374
2016-05-18,6.62666
2016-05-19,6.63604
2016-05-20,6.6258
2016-05-22,6.62627
2016-05-23,6.63125
2016-05-24,6.67677
2016-05-25,6.6656
2016-05-26,6.64425
2016-05-27,6.6916
2016-05-29,6.69305
2016-05-30,6.66997
2016-05-31,6.6796
2016-06-01,6.64845
2016-06-02,6.67017
2016-06-03,6.546
2016-06-05,6.5556
2016-06-06,6.54471
2016-06-07,6.5468
2016-06-08,6.51876
2016-06-09,6.57177
2016-06-10,6.6097
2016-06-12,6.61575
2016-06-13,6.5858
2016-06-14,6.63127
2016-06-15,6.60113
2016-06-16,6.60455
2016-06-17,6.5932
2016-06-19,6.55396
2016-06-20,6.56698
2016-06-21,6.60967
2016-06-22,6.56642
2016-06-23,6.57102
2016-06-24,6.6948
2016-06-26,6.73446
2016-06-27,6.75236
2016-06-28,6.71559
2016-06-29,6.68608
2016-06-30,6.69636
2016-07-01,6.6803
2016-07-03,6.68662
2016-07-04,6.67495
2016-07-05,6.72556
2016-07-06,6.70394
2016-07-07,6.72367
2016-07-08,6.7333
2016-07-10,6.7351
2016-07-11,6.72574
2016-07-12,6.7266
2016-07-13,6.70291
2016-07-14,6.69692
2016-07-15,6.7422
2016-07-17,6.72979
2016-07-18,6.71865
2016-07-19,6.75366
2016-07-20,6.7504
2016-07-21,6.7439
2016-07-22,6.7771
2016-07-24,6.7808
2016-07-25,6.7687
2016-07-26,6.76972
2016-07-27,6.72046
2016-07-28,6.7098
2016-07-29,6.6572
2016-07-31,6.66049
2016-08-01,6.6599
2016-08-02,6.62927
2016-08-03,6.6694
2016-08-04,6.67997
2016-08-05,6.7071
2016-08-07,6.70634
2016-08-08,6.70852
2016-08-09,6.68994
2016-08-10,6.64913
2016-08-11,6.67739
2016-08-12,6.6664
2016-08-14,6.6636
2016-08-15,6.65228
2016-08-16,6.5988
2016-08-17,6.5856
2016-08-18,6.5576
2016-08-19,6.5713
2016-08-21,6.58797
2016-08-22,6.5746
2016-08-23,6.58566
2016-08-24,6.61
2016-08-25,6.59523
2016-08-26,6.6496
2016-08-28,6.649
2016-08-29,6.6503
2016-08-30,6.6759
2016-08-31,6.6705
2016-09-01,6.6443
2016-09-02,6.6705
2016-09-04,6.6669
2016-09-05,6.6718
2016-09-06,6.6143
2016-09-07,6.62233
2016-09-08,6.60459
2016-09-09,6.625
2016-09-11,6.62075
2016-09-12,6.62103
2016-09-13,6.6357
2016-09-14,6.6191
2016-09-15,6.62084
2016-09-16,6.6769
2016-09-18,6.67479
2016-09-19,6.66458
2016-09-20,6.6832
2016-09-21,6.66081
2016-09-22,6.65054
2016-09-23,6.6408
2016-09-25,6.63179
2016-09-26,6.62175
2016-09-27,6.64391
2016-09-28,6.6407
2016-09-29,6.64214
2016-09-30,6.6233
2016-10-02,6.62836
2016-10-03,6.63799
2016-10-04,6.63931
2016-10-05,6.63971
2016-10-06,6.67859
2016-10-07,6.6432
2016-10-09,6.64586
2016-10-10,6.67975
2016-10-11,6.7256
2016-10-12,6.7551
2016-10-13,6.73353
2016-10-14,6.7819
2016-10-16,6.78324
2016-10-17,6.7563
2016-10-18,6.7798
2016-10-19,6.7806
2016-10-20,6.80589
2016-10-21,6.8335
2016-10-23,6.83629
2016-10-24,6.8423
2016-10-25,6.83083
2016-10-26,6.81834
2016-10-27,6.82409
2016-10-28,6.7726
2016-10-30,6.7714
2016-10-31,6.77851
2016-11-01,6.72855
2016-11-02,6.70592
2016-11-03,6.7032
2016-11-04,6.6793
2016-11-06,6.70363
2016-11-07,6.73402
2016-11-08,6.75514
2016-11-09,6.8163
2016-11-10,6.8339
2016-11-11,6.8616
2016-11-13,6.8753
2016-11-14,6.92408
2016-11-15,6.94007
2016-11-16,6.95132
2016-11-17,7.00406
2016-11-18,7.0228
2016-11-20,7.02938
2016-11-21,6.99445
2016-11-22,6.99718
2016-11-23,7.0563
2016-11-24,7.0439
2016-11-25,7.0231
2016-11-27,7.01072
2016-11-28,7.0052
2016-11-29,6.98804
2016-11-30,7.02423
2016-12-01,6.97704
2016-12-02,6.9762
2016-12-04,7.02831
2016-12-05,6.91585
2016-12-06,6.93878
2016-12-07,6.9132
2016-12-08,7.00466
2016-12-09,7.0427
2016-12-11,7.05122
2016-12-12,6.9886
2016-12-13,6.9971
2016-12-14,7.07284
2016-12-15,7.1353
2016-12-16,7.1195
2016-12-18,7.1155
2016-12-19,7.1448
2016-12-20,7.1543
2016-12-21,7.12922
2016-12-22,7.1222
2016-12-23,7.1147
2016-12-25,7.1118
2016-12-26,7.11007
2016-12-27,7.10661
2016-12-28,7.136
2016-12-29,7.03037
2016-12-30,7.0643
2017-01-01,7.0627
2017-01-02,7.1079
2017-01-03,7.13494
2017-01-04,7.08061
2017-01-05,7.0087
2017-01-06,7.0583
2017-01-08,7.05993
2017-01-09,7.02076
2017-01-10,7.04395
2017-01-11,7.01644
2017-01-12,7.0037
2017-01-13,6.9878
2017-01-15,6.99513
2017-01-16,7.01395
2017-01-17,6.95102
2017-01-18,6.99655
2017-01-19,6.97512
2017-01-20,6.9538
2017-01-22,6.9408
2017-01-23,6.91131
2017-01-24,6.9307
2017-01-25,6.9165
2017-01-26,6.9611
2017-01-27,6.9543
2017-01-29,6.94145
2017-01-30,6.94459
2017-01-31,6.8838
2017-02-01,6.9075
2017-02-02,6.91072
2017-02-03,6.8996
2017-02-05,6.89661
2017-02-06,6.92069
2017-02-07,6.96187
2017-02-08,6.95285
2017-02-09,6.97463
2017-02-10,6.9888
2017-02-12,7.00123
2017-02-13,7.0158
2017-02-14,7.02903
2017-02-15,7.00886
2017-02-16,6.965
2017-02-17,7.0072
2017-02-19,6.9951
2017-02-20,7.00651
2017-02-21,7.05
2017-02-22,7.0445
2017-02-23,7.02287
2017-02-24,7.0397
2017-02-26,7.0446
2017-02-27,7.0225
2017-02-28,7.03369
2017-03-01,7.05505
2017-03-02,7.07446
2017-03-03,7.0037
2017-03-05,6.99916
2017-03-06,7.02618
2017-03-07,7.03208
2017-03-08,7.0487
2017-03-09,7.02727
2017-03-10,6.9553
2017-03-12,6.95112
2017-03-13,6.97914
2017-03-14,7.00463
2017-03-15,6.92222
2017-03-16,6.901
2017-03-17,6.9219
2017-03-19,6.9204
2017-03-20,6.92384
2017-03-21,6.8777
2017-03-22,6.89276
2017-03-23,6.89664
2017-03-24,6.8884
2017-03-26,6.85586
2017-03-27,6.84953
2017-03-28,6.87797
2017-03-29,6.9162
2017-03-30,6.95986
2017-03-31,6.9815
2017-04-02,6.97116
2017-04-03,6.9708
2017-04-04,6.96188
2017-04-05,6.96665
2017-04-06,6.98592
2017-04-07,7.0195
2017-04-09,7.02655
2017-04-10,7.01533
2017-04-11,7.00753
2017-04-12,6.97048
2017-04-13,7.0071
2017-04-14,7.0093
