date,rate
2015-09-28,0.8899
2015-09-29,0.8881
2015-09-30,0.8948
2015-10-01,0.8933
2015-10-02,0.8918
2015-10-05,0.8933
2015-10-06,0.8873
2015-10-07,0.8898
2015-10-08,0.8856
2015-10-09,0.8805
2015-10-12,0.8803
2015-10-13,0.8779
2015-10-14,0.8713
2015-10-15,0.8788
2015-10-16,0.881
2015-10-19,0.8825
2015-10-20,0.8806
2015-10-21,0.8815
2015-10-22,0.9002
2015-10-23,0.9073
2015-10-26,0.9039
2015-10-27,0.9057
2015-10-28,0.9146
2015-10-29,0.9099
2015-10-30,0.9083
2015-11-02,0.9077
2015-11-03,0.912
2015-11-04,0.9199
2015-11-05,0.9185
2015-11-06,0.931
2015-11-09,0.9296
2015-11-10,0.9325
2015-11-11,0.9292
2015-11-12,0.9251
2015-11-13,0.9276
2015-11-16,0.9358
2015-11-17,0.9391
2015-11-18,0.9378
2015-11-19,0.9318
2015-11-20,0.9391
2015-11-23,0.9399
2015-11-24,0.9391
2015-11-25,0.9412
2015-11-26,0.9426
2015-11-27,0.944
2015-11-30,0.9451
2015-12-01,0.941
2015-12-02,0.9424
2015-12-03,0.9149
2015-12-04,0.9185
2015-12-07,0.9229
2015-12-08,0.9177
2015-12-09,0.9075
2015-12-10,0.9138
2015-12-11,0.9096
2015-12-14,0.9088
2015-12-15,0.9145
2015-12-16,0.9178
2015-12-17,0.9228
2015-12-18,0.9201
2015-12-21,0.9163
2015-12-22,0.913
2015-12-23,0.9166
2015-12-24,0.9117
2015-12-25,0.9108
2015-12-28,0.911
2015-12-29,0.9152
2015-12-30,0.915
2015-12-31,0.9217
2016-01-01,0.9204
2016-01-04,0.9231
2016-01-05,0.9296
2016-01-06,0.9277
2016-01-07,0.9153
2016-01-08,0.9147
2016-01-11,0.9204
2016-01-12,0.9216
2016-01-13,0.9188
2016-01-14,0.9204
2016-01-15,0.9155
2016-01-18,0.9179
2016-01-19,0.916
2016-01-20,0.9181
2016-01-21,0.9197
2016-01-22,0.926
2016-01-25,0.9214
2016-01-26,0.92
2016-01-27,0.9169
2016-01-28,0.9139
2016-01-29,0.9232
2016-02-01,0.9181
2016-02-02,0.9151
2016-02-03,0.9021
2016-02-04,0.8924
2016-02-05,0.896
2016-02-08,0.8924
2016-02-09,0.8856
2016-02-10,0.8863
2016-02-11,0.8836
2016-02-12,0.8881
2016-02-15,0.8955
2016-02-16,0.8974
2016-02-17,0.8982
2016-02-18,0.8999
2016-02-19,0.8983
2016-02-22,0.9068
2016-02-23,0.9072
2016-02-24,0.9075
2016-02-25,0.9072
2016-02-26,0.9143
2016-02-29,0.9185
2016-03-01,0.9199
2016-03-02,0.9197
2016-03-03,0.913
2016-03-04,0.9087
2016-03-07,0.9076
2016-03-08,0.9084
2016-03-09,0.9091
2016-03-10,0.8942
2016-03-11,0.8963
2016-03-14,0.9003
2016-03-15,0.9001
2016-03-16,0.8914
2016-03-17,0.8835
2016-03-18,0.8867
2016-03-21,0.8894
2016-03-22,0.8913
2016-03-23,0.8941
2016-03-24,0.8944
2016-03-25,0.8944
2016-03-28,0.8928
2016-03-29,0.8856
2016-03-30,0.8822
2016-03-31,0.8786
2016-04-01,0.8773
2016-04-04,0.8778
2016-04-05,0.8782
2016-04-06,0.8772
2016-04-07,0.879
2016-04-08,0.8775
2016-04-11,0.8762
2016-04-12,0.8781
2016-04-13,0.8863
2016-04-14,0.8875
2016-04-15,0.8854
2016-04-18,0.8839
2016-04-19,0.8802
2016-04-20,0.8846
2016-04-21,0.8856
2016-04-22,0.8906
2016-04-25,0.8873
2016-04-26,0.8847
2016-04-27,0.8826
2016-04-28,0.8805
2016-04-29,0.873
2016-05-02,0.8673
2016-05-03,0.8693
2016-05-04,0.8699
2016-05-05,0.8767
2016-05-06,0.8767
2016-05-09,0.8782
2016-05-10,0.8791
2016-05-11,0.8751
2016-05-12,0.8785
2016-05-13,0.8839
2016-05-16,0.8835
2016-05-17,0.8837
2016-05-18,0.8907
2016-05-19,0.8924
2016-05-20,0.8908
2016-05-23,0.8913
2016-05-24,0.8974
2016-05-25,0.896
2016-05-26,0.8931
2016-05-27,0.8997
2016-05-30,0.8973
2016-05-31,0.8981
2016-06-01,0.8938
2016-06-02,0.8964
2016-06-03,0.8796
2016-06-06,0.8804
2016-06-07,0.8804
2016-06-08,0.877
2016-06-09,0.8835
2016-06-10,0.8888
2016-06-13,0.8854
2016-06-14,0.8918
2016-06-15,0.8876
2016-06-16,0.8901
2016-06-17,0.8868
