date,rate
2016-03-14,0.6955
2016-03-15,0.70013
2016-03-16,0.7063
2016-03-17,0.7016
2016-03-18,0.6907
2016-03-21,0.6914
2016-03-22,0.696
2016-03-23,0.70294
2016-03-24,0.7084
2016-03-25,0.70711
2016-03-28,0.70756
2016-03-29,0.7012
2016-03-30,0.69502
2016-03-31,0.6957
2016-04-01,0.69607
2016-04-04,0.7029
2016-04-05,0.701
2016-04-06,0.7063
2016-04-07,0.7074
2016-04-08,0.7115
2016-04-11,0.70751
2016-04-12,0.70254
2016-04-13,0.70082
2016-04-14,0.70457
2016-04-15,0.70696
2016-04-18,0.705
2016-04-19,0.6999
2016-04-20,0.69502
2016-04-21,0.69745
2016-04-22,0.698
2016-04-25,0.6921
2016-04-26,0.6902
2016-04-27,0.686
2016-04-28,0.6877
2016-04-29,0.6843
2016-05-02,0.6847
2016-05-03,0.6818
2016-05-04,0.6875
2016-05-05,0.6893
2016-05-06,0.6901
2016-05-09,0.6931
2016-05-10,0.69367
2016-05-11,0.6919
2016-05-12,0.6927
2016-05-13,0.69223
2016-05-16,0.6967
2016-05-17,0.69213
2016-05-18,0.6917
2016-05-19,0.68512
2016-05-20,0.68495
2016-05-23,0.69004
2016-05-24,0.69057
2016-05-25,0.68418
2016-05-26,0.68039
2016-05-27,0.68183
2016-05-30,0.68378
2016-05-31,0.6833
2016-06-01,0.69037
2016-06-02,0.69343
2016-06-03,0.69406
2016-06-06,0.69482
2016-06-07,0.69152
2016-06-08,0.68759
2016-06-09,0.68894
2016-06-10,0.69138
2016-06-13,0.70469
2016-06-14,0.70392
2016-06-15,0.70817
2016-06-16,0.70446
2016-06-17,0.69952
2016-06-20,0.68554
2016-06-21,0.68146
2016-06-22,0.68182
2016-06-23,0.67604
2016-06-24,0.68681
2016-06-27,0.74379
2016-06-28,0.75602
2016-06-29,0.74874
2016-06-30,0.74316
2016-07-01,0.74998
2016-07-04,0.75271
2016-07-05,0.7529
2016-07-06,0.77138
2016-07-07,0.77396
2016-07-08,0.77448
2016-07-11,0.77252
2016-07-12,0.77011
2016-07-13,0.75354
2016-07-14,0.76213
2016-07-15,0.74863
2016-07-18,0.75534
2016-07-19,0.75381
2016-07-20,0.76292
2016-07-21,0.7549
2016-07-22,0.75539
2016-07-25,0.76194
2016-07-26,0.76296
2016-07-27,0.7604
2016-07-28,0.75521
2016-07-29,0.75958
2016-08-01,0.75647
2016-08-02,0.75835
2016-08-03,0.74972
2016-08-04,0.75022
2016-08-05,0.7617
2016-08-08,0.76473
2016-08-09,0.76721
2016-08-10,0.7684
2016-08-11,0.7679
2016-08-12,0.77186
2016-08-15,0.7746
2016-08-16,0.7764
2016-08-17,0.76732
2016-08-18,0.7666
2016-08-19,0.7597
2016-08-22,0.7652
2016-08-23,0.7615
2016-08-24,0.75761
2016-08-25,0.7553
2016-08-26,0.758
2016-08-29,0.7618
2016-08-30,0.7628
2016-08-31,0.7637
2016-09-01,0.7614
2016-09-02,0.7532
2016-09-05,0.7522
2016-09-06,0.7512
2016-09-07,0.7454
2016-09-08,0.7496
2016-09-09,0.7514
2016-09-12,0.7535
2016-09-13,0.7497
2016-09-14,0.7579
2016-09-15,0.7539
2016-09-16,0.75487
2016-09-19,0.76838
2016-09-20,0.7669
2016-09-21,0.7701
2016-09-22,0.767
2016-09-23,0.76429
2016-09-26,0.7705
2016-09-27,0.77104
2016-09-28,0.7686
2016-09-29,0.7669
2016-09-30,0.7711
2016-10-03,0.7733
2016-10-04,0.7781
2016-10-05,0.7856
2016-10-06,0.784
2016-10-07,0.80652
2016-10-10,0.8042
2016-10-11,0.8099
2016-10-12,0.8147
2016-10-13,0.8203
2016-10-14,0.8179
2016-10-17,0.8212
2016-10-18,0.8182
2016-10-19,0.8128
2016-10-20,0.8135
2016-10-21,0.8158
2016-10-24,0.81832
2016-10-25,0.818
2016-10-26,0.82118
2016-10-27,0.8173
2016-10-28,0.8218
2016-10-31,0.81927
2016-11-01,0.8173
2016-11-02,0.81708
2016-11-03,0.8126
2016-11-04,0.8022
2016-11-07,0.8007
2016-11-08,0.8064
2016-11-09,0.8073
2016-11-10,0.8051
2016-11-11,0.7967
2016-11-14,0.7951
2016-11-15,0.7988
2016-11-16,0.8031
2016-11-17,0.8039
2016-11-18,0.8057
2016-11-21,0.8115
2016-11-22,0.8003
2016-11-23,0.8049
2016-11-24,0.8046
2016-11-25,0.8029
2016-11-28,0.8011
2016-11-29,0.8058
2016-11-30,0.8006
2016-12-01,0.79903
2016-12-02,0.7943
2016-12-05,0.7893
2016-12-06,0.78563
2016-12-07,0.7891
2016-12-08,0.79181
2016-12-09,0.79468
2016-12-12,0.7941
2016-12-13,0.7888
2016-12-14,0.7897
2016-12-15,0.79756
2016-12-16,0.8049
2016-12-19,0.8007
2016-12-20,0.8072
2016-12-21,0.8086
2016-12-22,0.8095
2016-12-23,0.81401
2016-12-26,0.8137
2016-12-27,0.8145
2016-12-28,0.8146
2016-12-29,0.818
2016-12-30,0.814
2017-01-02,0.80978
2017-01-03,0.8142
2017-01-04,0.81659
2017-01-05,0.81116
2017-01-06,0.8049
2017-01-09,0.81568
2017-01-10,0.8216
2017-01-11,0.8213
2017-01-12,0.8189
2017-01-13,0.8219
2017-01-16,0.83074
2017-01-17,0.8305
2017-01-18,0.80714
2017-01-19,0.8155
2017-01-20,0.81034
2017-01-23,0.80742
2017-01-24,0.79905
2017-01-25,0.79798
2017-01-26,0.7912
2017-01-27,0.7939
2017-01-30,0.79404
2017-01-31,0.7999
2017-02-01,0.79447
2017-02-02,0.78971
2017-02-03,0.7987
2017-02-06,0.80115
2017-02-07,0.80195
2017-02-08,0.80022
2017-02-09,0.79834
2017-02-10,0.80026
2017-02-13,0.80108
2017-02-14,0.79851
2017-02-15,0.80198
2017-02-16,0.80219
2017-02-17,0.80117
2017-02-20,0.80447
2017-02-21,0.80168
2017-02-22,0.80086
2017-02-23,0.80293
2017-02-24,0.7965
2017-02-27,0.80633
2017-02-28,0.80403
2017-03-01,0.80779
2017-03-02,0.81492
2017-03-03,0.8147
2017-03-06,0.81351
2017-03-07,0.817
2017-03-08,0.81943
2017-03-09,0.82139
2017-03-10,0.8224
2017-03-13,0.8217
2017-03-14,0.8187
2017-03-15,0.82246
2017-03-16,0.8141
2017-03-17,0.8095
2017-03-20,0.8078
2017-03-21,0.80865
2017-03-22,0.80109
2017-03-23,0.80186
2017-03-24,0.7988
2017-03-27,0.79919
2017-03-28,0.79619
2017-03-29,0.8049
2017-03-30,0.8038
2017-03-31,0.80148
2017-04-03,0.7975
2017-04-04,0.8007
2017-04-05,0.80372
