date,rate
2016-01-18,3.9511
2016-01-19,3.9674
2016-01-20,3.9661
2016-01-21,3.9718
2016-01-22,3.9788
2016-01-25,3.965
2016-01-26,3.9588
2016-01-27,3.9715
2016-01-28,3.9482
2016-01-29,3.9599
2016-02-01,3.9531
2016-02-02,3.9595
2016-02-03,3.9336
2016-02-04,3.8935
2016-02-05,3.8775
2016-02-08,3.89
2016-02-09,3.8678
2016-02-10,3.8758
2016-02-11,3.8876
2016-02-12,3.881
2016-02-15,3.891
2016-02-16,3.897
2016-02-17,3.9004
2016-02-18,3.908
2016-02-19,3.908
2016-02-22,3.9049
2016-02-23,3.9057
2016-02-24,3.9135
2016-02-25,3.9002
2016-02-26,3.9085
2016-02-29,3.9026
2016-03-01,3.8827
2016-03-02,3.8799
2016-03-03,3.883
2016-03-04,3.907
2016-03-07,3.9102
2016-03-08,3.9044
2016-03-09,3.8881
2016-03-10,3.8756
2016-03-11,3.878
2016-03-14,3.8887
2016-03-15,3.8852
2016-03-16,3.875
2016-03-17,3.8465
2016-03-18,3.853
2016-03-21,3.855
2016-03-22,3.8384
2016-03-23,3.8362
2016-03-24,3.8306
2016-03-25,3.8335
2016-03-28,3.822
2016-03-29,3.802
2016-03-30,3.777
2016-03-31,3.7484
2016-04-01,3.7733
2016-04-04,3.78
2016-04-05,3.8144
2016-04-06,3.792
2016-04-07,3.7868
2016-04-08,3.7725
2016-04-11,3.7552
2016-04-12,3.765
2016-04-13,3.7709
2016-04-14,3.7836
2016-04-15,3.7775
2016-04-18,3.7708
2016-04-19,3.752
2016-04-20,3.7651
2016-04-21,3.7652
2016-04-22,3.7688
2016-04-25,3.757
2016-04-26,3.7557
2016-04-27,3.7481
2016-04-28,3.7575
2016-04-29,3.7299
2016-05-02,3.7488
2016-05-03,3.7771
2016-05-04,3.7835
2016-05-05,3.7866
2016-05-06,3.785
2016-05-09,3.7807
2016-05-10,3.772
2016-05-11,3.7506
2016-05-12,3.7648
2016-05-13,3.7799
2016-05-16,3.8201
2016-05-17,3.8133
2016-05-18,3.8456
2016-05-19,3.863
2016-05-20,3.8752
2016-05-23,3.859
2016-05-24,3.8487
2016-05-25,3.8415
2016-05-26,3.8263
2016-05-27,3.8405
2016-05-30,3.849
2016-05-31,3.8487
2016-06-01,3.8467
2016-06-02,3.8569
2016-06-03,3.8395
2016-06-06,3.8204
2016-06-07,3.828
2016-06-08,3.829
2016-06-09,3.83
2016-06-10,3.85
2016-06-13,3.8584
2016-06-14,3.8759
2016-06-15,3.85
2016-06-16,3.868
2016-06-17,3.8666
2016-06-20,3.8552
2016-06-21,3.8561
2016-06-22,3.8368
2016-06-23,3.8117
2016-06-24,3.8744
2016-06-27,3.8751
2016-06-28,3.867
2016-06-29,3.8496
2016-06-30,3.8514
2016-07-01,3.846
2016-07-04,3.851
2016-07-05,3.8891
2016-07-06,3.8756
2016-07-07,3.8808
2016-07-08,3.8781
2016-07-11,3.8813
2016-07-12,3.8671
2016-07-13,3.8639
2016-07-14,3.8477
2016-07-15,3.8647
2016-07-18,3.8505
2016-07-19,3.8557
2016-07-20,3.8516
2016-07-21,3.8406
2016-07-22,3.8416
2016-07-25,3.8421
2016-07-26,3.8392
2016-07-27,3.8329
2016-07-28,3.8236
2016-07-29,3.8085
2016-08-01,3.811
2016-08-02,3.8051
2016-08-03,3.82
2016-08-04,3.821
2016-08-05,3.8325
2016-08-08,3.817
2016-08-09,3.813
2016-08-10,3.8141
2016-08-11,3.809
2016-08-12,3.8076
2016-08-15,3.7937
2016-08-16,3.777
2016-08-17,3.7852
2016-08-18,3.763
2016-08-19,3.7665
2016-08-22,3.775
2016-08-23,3.769
2016-08-24,3.7626
2016-08-25,3.7585
2016-08-26,3.7713
2016-08-29,3.7856
2016-08-30,3.791
2016-08-31,3.7726
2016-09-01,3.7706
2016-09-02,3.7611
2016-09-05,3.7624
2016-09-06,3.7541
2016-09-07,3.7548
2016-09-08,3.7534
2016-09-09,3.7613
2016-09-12,3.7652
2016-09-13,3.7828
2016-09-14,3.7843
2016-09-15,3.772
2016-09-16,3.769
2016-09-19,3.7708
2016-09-20,3.7769
2016-09-21,3.76
2016-09-22,3.7589
2016-09-23,3.7583
2016-09-26,3.748
2016-09-27,3.743
2016-09-28,3.7492
2016-09-29,3.7487
2016-09-30,3.7453
2016-10-03,3.7584
2016-10-04,3.7748
2016-10-05,3.769
2016-10-06,3.783
2016-10-07,3.7909
2016-10-10,3.7854
2016-10-11,3.8023
2016-10-12,3.8145
2016-10-13,3.8014
2016-10-14,3.8156
2016-10-17,3.8251
2016-10-18,3.8209
2016-10-19,3.8326
2016-10-20,3.8455
2016-10-21,3.8566
2016-10-24,3.8553
2016-10-25,3.8446
2016-10-26,3.8455
2016-10-27,3.8493
2016-10-28,3.8445
2016-10-31,3.8306
2016-11-01,3.8134
2016-11-02,3.8111
2016-11-03,3.8105
2016-11-04,3.7848
2016-11-07,3.8095
2016-11-08,3.8
2016-11-09,3.8156
2016-11-10,3.8326
