date,rate
2015-11-03,4.27
2015-11-04,4.27
2015-11-05,4.2935
2015-11-06,4.3135
2015-11-09,4.392
2015-11-10,4.3675
2015-11-11,4.36
2015-11-12,4.37
2015-11-13,4.39
2015-11-16,4.381
2015-11-17,4.391
2015-11-18,4.38
2015-11-19,4.309
2015-11-20,4.283
2015-11-23,4.301
2015-11-24,4.242
2015-11-25,4.212
2015-11-26,4.212
2015-11-27,4.26
2015-11-30,4.256
2015-12-01,4.23
2015-12-02,4.25
2015-12-03,4.22
2015-12-04,4.21
2015-12-07,4.26
2015-12-08,4.28
2015-12-09,4.266
2015-12-10,4.256
2015-12-11,4.32
2015-12-14,4.33
2015-12-15,4.31
2015-12-16,4.295
2015-12-17,4.3145
2015-12-18,4.287
2015-12-21,4.292
2015-12-22,4.294
2015-12-23,4.29
2015-12-24,4.29
2015-12-25,4.29
2015-12-28,4.295
2015-12-29,4.28
2015-12-30,4.295
2015-12-31,4.295
2016-01-01,4.2935
2016-01-04,4.342
2016-01-05,4.358
2016-01-06,4.422
2016-01-07,4.369
2016-01-08,4.39
2016-01-11,4.38
2016-01-12,4.409
2016-01-13,4.375
2016-01-14,4.39
2016-01-15,4.41
2016-01-18,4.399
2016-01-19,4.3625
2016-01-20,4.391
2016-01-21,4.34
2016-01-22,4.294
2016-01-25,4.27
2016-01-26,4.27
2016-01-27,4.25
2016-01-28,4.153
2016-01-29,4.14
2016-02-01,4.15
2016-02-02,4.21
2016-02-03,4.17
2016-02-04,4.11
2016-02-05,4.155
2016-02-08,4.175
2016-02-09,4.1505
2016-02-10,4.118
2016-02-11,4.14
2016-02-12,4.166
2016-02-15,4.125
2016-02-16,4.18
2016-02-17,4.18
2016-02-18,4.17
2016-02-19,4.203
2016-02-22,4.19
2016-02-23,4.216
2016-02-24,4.215
2016-02-25,4.21
2016-02-26,4.22
2016-02-29,4.2
2016-03-01,4.15
2016-03-02,4.15
2016-03-03,4.14
2016-03-04,4.1078
2016-03-07,4.09
2016-03-08,4.11
2016-03-09,4.121
2016-03-10,4.125
2016-03-11,4.07
2016-03-14,4.101
2016-03-15,4.152
2016-03-16,4.149
2016-03-17,4.0225
2016-03-18,4.0465
2016-03-21,4.056
2016-03-22,4
2016-03-23,4.0075
2016-03-24,4.027
2016-03-25,4.027
2016-03-28,4.01
2016-03-29,3.965
2016-03-30,3.928
2016-03-31,3.89
2016-04-01,3.88
2016-04-04,3.9
2016-04-05,3.92
2016-04-06,3.886
2016-04-07,3.939
2016-04-08,3.9
2016-04-11,3.887
2016-04-12,3.861
2016-04-13,3.88
2016-04-14,3.89
2016-04-15,3.898
2016-04-18,3.8975
2016-04-19,3.8375
2016-04-20,3.862
2016-04-21,3.8808
2016-04-22,3.896
2016-04-24,3.9073
2016-04-25,3.901
2016-04-26,3.92
2016-04-27,3.8975
2016-04-28,3.88
2016-04-29,3.91
2016-05-02,3.91
2016-05-03,3.97
2016-05-04,4.0225
2016-05-05,4
2016-05-06,4.006
2016-05-09,4.054
2016-05-10,4.053
2016-05-11,4.008
2016-05-12,4.02
2016-05-13,4.027
2016-05-16,4.027
2016-05-17,4.016
2016-05-18,4.045
2016-05-19,4.08
2016-05-20,4.078
2016-05-23,4.084
2016-05-24,4.104
2016-05-25,4.1
2016-05-26,4.062
2016-05-27,4.075
2016-05-30,4.1138
2016-05-31,4.123
2016-06-01,4.143
2016-06-02,4.14
2016-06-03,4.0875
2016-06-06,4.0525
2016-06-07,4.05
2016-06-08,4.024
2016-06-09,4.045
2016-06-10,4.064
2016-06-13,4.08
2016-06-14,4.11
2016-06-15,4.097
2016-06-16,4.098
2016-06-17,4.098
2016-06-20,4.06
2016-06-21,4.03
2016-06-22,4.03
2016-06-23,3.9565
2016-06-24,4.09
2016-06-27,4.114
2016-06-28,4.068
2016-06-29,4.0095
2016-06-30,3.9825
2016-07-01,4.01
2016-07-04,3.9884
2016-07-05,4.025
2016-07-06,4.03
2016-07-07,4.04
2016-07-08,4
2016-07-11,4
2016-07-12,3.96
2016-07-13,3.965
2016-07-14,3.94
2016-07-15,3.945
2016-07-18,3.97
2016-07-19,4.005
2016-07-20,4.022
2016-07-21,4.0605
2016-07-22,4.06
2016-07-25,4.084
2016-07-26,4.06
2016-07-27,4.073
2016-07-28,4.0465
2016-07-29,4.0275
2016-08-01,4.02
2016-08-02,4.05
2016-08-03,4.0555
2016-08-04,4.031
2016-08-05,4.031
2016-08-08,4.035
2016-08-09,4.028
2016-08-10,4.004
2016-08-11,3.9825
2016-08-12,4.03
2016-08-15,3.99
2016-08-16,3.983
2016-08-17,4.005
2016-08-18,3.9925
2016-08-19,4.0105
2016-08-22,4.02
2016-08-23,4.02
2016-08-24,4.03
2016-08-25,4.0095
2016-08-26,4.03
2016-08-29,4.045
2016-08-30,4.051
