date,rate
2015-08-31,3.77
2015-09-01,3.7507
2015-09-02,3.7695
2015-09-03,3.7881
2015-09-04,3.7935
2015-09-07,3.7862
2015-09-08,3.7682
2015-09-09,3.7518
2015-09-10,3.7291
2015-09-11,3.7139
2015-09-14,3.7176
2015-09-15,3.7228
2015-09-16,3.7188
2015-09-17,3.6761
2015-09-18,3.7155
2015-09-21,3.7393
2015-09-22,3.7746
2015-09-23,3.7738
2015-09-24,3.7759
2015-09-25,3.7773
2015-09-28,3.7713
2015-09-29,3.7611
2015-09-30,3.7995
2015-10-01,3.7928
2015-10-02,3.7848
2015-10-05,3.7892
2015-10-06,3.7605
2015-10-07,3.765
2015-10-08,3.7375
2015-10-09,3.7152
2015-10-12,3.7165
2015-10-13,3.717
2015-10-14,3.6825
2015-10-15,3.7192
2015-10-16,3.724
2015-10-19,3.7473
2015-10-20,3.7508
2015-10-21,3.7811
2015-10-22,3.8301
2015-10-23,3.8575
2015-10-26,3.8644
2015-10-27,3.8782
2015-10-28,3.9172
2015-10-29,3.8941
2015-10-30,3.8756
2015-11-02,3.863
2015-11-03,3.8752
2015-11-04,3.904
2015-11-05,3.9057
2015-11-06,3.9852
2015-11-09,3.9536
2015-11-10,3.9496
2015-11-11,3.915
2015-11-12,3.9154
2015-11-13,3.943
2015-11-16,3.9715
2015-11-17,3.9865
2015-11-18,3.982
2015-11-19,3.9603
2015-11-20,3.9822
2015-11-23,3.9965
2015-11-24,4.0023
2015-11-25,4.0159
2015-11-26,4.0299
2015-11-27,4.0255
2015-11-30,4.0342
2015-12-01,4.0293
2015-12-02,4.0302
2015-12-03,3.9612
2015-12-04,3.9604
2015-12-07,3.9898
2015-12-08,3.9855
2015-12-09,3.9464
2015-12-10,3.9716
2015-12-11,3.9693
2015-12-14,3.968
2015-12-15,3.9496
2015-12-16,3.9412
2015-12-17,3.9678
2015-12-18,3.9245
2015-12-21,3.8964
2015-12-22,3.8763
2015-12-23,3.8871
2015-12-24,3.8614
2015-12-25,3.873
2015-12-28,3.8677
2015-12-29,3.8727
2015-12-30,3.8942
2015-12-31,3.921
2016-01-04,3.9675
2016-01-05,4.0015
2016-01-06,4.0349
2016-01-07,3.9776
2016-01-08,4.0008
2016-01-11,4.0046
2016-01-12,4.0165
2016-01-13,3.9992
2016-01-14,4.0449
2016-01-15,4.093
2016-01-18,4.0916
2016-01-19,4.075
2016-01-20,4.1227
2016-01-21,4.128
2016-01-22,4.1271
2016-01-25,4.1274
2016-01-26,4.0895
2016-01-27,4.1105
2016-01-28,4.0705
2016-01-29,4.0784
2016-02-01,4.0402
2016-02-02,4.041
2016-02-03,3.9846
2016-02-04,3.9477
2016-02-05,3.9515
2016-02-08,3.9678
2016-02-09,3.9348
2016-02-10,3.9056
2016-02-11,3.9056
2016-02-12,3.9025
2016-02-15,3.9354
2016-02-16,3.954
2016-02-17,3.949
2016-02-18,3.9545
2016-02-19,3.9315
2016-02-22,3.9515
2016-02-23,3.9734
2016-02-24,3.9706
2016-02-25,3.9497
2016-02-26,3.986
2016-02-29,3.9952
2016-03-01,3.9817
2016-03-02,3.9754
2016-03-03,3.9595
2016-03-04,3.9113
2016-03-07,3.9298
2016-03-08,3.9269
2016-03-09,3.9251
2016-03-10,3.875
2016-03-11,3.8405
2016-03-14,3.8513
2016-03-15,3.8601
2016-03-16,3.822
2016-03-17,3.777
2016-03-18,3.7807
2016-03-21,3.7879
2016-03-22,3.7931
2016-03-23,3.8099
2016-03-24,3.8171
2016-03-25,3.8156
2016-03-28,3.7968
2016-03-29,3.7591
2016-03-30,3.7673
2016-03-31,3.7249
2016-04-01,3.734
2016-04-04,3.7201
2016-04-05,3.7445
2016-04-06,3.7436
2016-04-07,3.7781
2016-04-08,3.7777
2016-04-11,3.746
2016-04-12,3.7638
2016-04-13,3.7979
2016-04-14,3.8129
2016-04-15,3.801
2016-04-18,3.807
2016-04-19,3.7811
2016-04-20,3.7776
2016-04-21,3.8292
2016-04-22,3.8873
2016-04-25,3.9125
2016-04-26,3.8702
2016-04-27,3.8703
2016-04-28,3.8698
2016-04-29,3.8235
2016-05-02,3.7988
2016-05-03,3.8178
2016-05-04,3.8293
2016-05-05,3.8601
2016-05-06,3.8795
2016-05-09,3.8929
2016-05-10,3.8796
2016-05-11,3.8745
2016-05-12,3.8754
2016-05-13,3.903
2016-05-16,3.8632
2016-05-17,3.8634
2016-05-18,3.9153
2016-05-19,3.9371
2016-05-20,3.9501
2016-05-23,3.9614
2016-05-24,3.9695
2016-05-25,3.9495
2016-05-26,3.9333
2016-05-27,3.9395
2016-05-30,3.9419
2016-05-31,3.9409
2016-06-01,3.9192
2016-06-02,3.9308
2016-06-03,3.859
2016-06-06,3.8358
2016-06-07,3.834
2016-06-08,3.7898
2016-06-09,3.8304
2016-06-10,3.8864
2016-06-13,3.9085
2016-06-14,3.9488
2016-06-15,3.9295
2016-06-16,3.9373
2016-06-17,3.9136
2016-06-20,3.8744
2016-06-21,3.9021
2016-06-22,3.8571
2016-06-23,3.8183
2016-06-24,3.987
2016-06-27,4.0407
2016-06-28,3.9931
2016-06-29,3.9732
2016-06-30,3.9407
2016-07-01,3.9624
2016-07-04,3.9794
2016-07-05,4.0114
2016-07-06,4.0012
2016-07-07,3.9998
2016-07-08,3.9893
2016-07-11,4.002
2016-07-12,3.9739
2016-07-13,3.9672
2016-07-14,3.9667
2016-07-15,4.0106
2016-07-18,3.9456
2016-07-19,3.976
2016-07-20,3.9686
2016-07-21,3.9537
2016-07-22,3.969
2016-07-25,3.9656
2016-07-26,3.9678
2016-07-27,3.9524
2016-07-28,3.9375
2016-07-29,3.8967
2016-08-01,3.9023
2016-08-02,3.8548
2016-08-03,3.8396
2016-08-04,3.8535
2016-08-05,3.8645
2016-08-08,3.8519
2016-08-09,3.8331
2016-08-10,3.8125
2016-08-11,3.8241
2016-08-12,3.8255
2016-08-15,3.815
2016-08-16,3.7879
2016-08-17,3.7959
2016-08-18,3.7797
2016-08-19,3.799
2016-08-22,3.8067
2016-08-23,3.8071
2016-08-24,3.8241
2016-08-25,3.8382
2016-08-26,3.872
2016-08-29,3.8805
2016-08-30,3.9089
2016-08-31,3.9093
2016-09-01,3.8938
2016-09-02,3.9135
2016-09-05,3.8923
2016-09-06,3.8521
2016-09-07,3.842
2016-09-08,3.8385
2016-09-09,3.8665
2016-09-12,3.871
2016-09-13,3.88
2016-09-14,3.8569
2016-09-15,3.8476
2016-09-16,3.865
2016-09-19,3.843
2016-09-20,3.8559
2016-09-21,3.8325
2016-09-22,3.8173
2016-09-23,3.8308
2016-09-26,3.818
2016-09-27,3.8163
2016-09-28,3.8291
2016-09-29,3.8331
2016-09-30,3.8233
2016-10-03,3.83
2016-10-04,3.8413
2016-10-05,3.8348
2016-10-06,3.839
2016-10-07,3.8298
2016-10-10,3.8277
2016-10-11,3.8716
2016-10-12,3.8996
2016-10-13,3.8853
2016-10-14,3.92
2016-10-17,3.9268
2016-10-18,3.9289
2016-10-19,3.9251
2016-10-20,3.9497
2016-10-21,3.9814
2016-10-24,3.9741
2016-10-25,3.9634
2016-10-26,3.9659
2016-10-27,3.9802
2016-10-28,3.9488
2016-10-31,3.9232
2016-11-01,3.8893
2016-11-02,3.8969
2016-11-03,3.8857
2016-11-04,3.888
2016-11-07,3.9177
2016-11-08,3.928
2016-11-09,3.9689
2016-11-10,4.0136
2016-11-11,4.087
2016-11-14,4.1143
2016-11-15,4.1103
2016-11-16,4.1602
2016-11-17,4.1743
2016-11-18,4.1845
2016-11-21,4.16
2016-11-22,4.1524
2016-11-23,4.2
2016-11-24,4.1844
2016-11-25,4.1545
2016-11-28,4.1649
2016-11-29,4.1635
2016-11-30,4.2025
2016-12-01,4.212
2016-12-02,4.2049
2016-12-05,4.1795
2016-12-06,4.1585
2016-12-07,4.1162
2016-12-08,4.1852
2016-12-09,4.2115
2016-12-12,4.1787
2016-12-13,4.1634
2016-12-14,4.2123
2016-12-15,4.2524
2016-12-16,4.2265
2016-12-19,4.2497
2016-12-20,4.2419
2016-12-21,4.2282
2016-12-22,4.2304
2016-12-23,4.2175
2016-12-26,4.2098
2016-12-27,4.2042
2016-12-28,4.2275
2016-12-29,4.1977
2016-12-30,4.182
2017-01-02,4.2146
2017-01-03,4.2139
2017-01-04,4.1643
2017-01-05,4.1158
2017-01-06,4.1192
2017-01-09,4.1382
2017-01-10,4.1391
2017-01-11,4.1278
2017-01-12,4.1163
2017-01-13,4.1205
2017-01-16,4.1258
2017-01-17,4.0719
2017-01-18,4.0999
2017-01-19,4.1018
2017-01-20,4.0845
2017-01-23,4.0575
2017-01-24,4.0723
2017-01-25,4.0493
2017-01-26,4.0674
2017-01-27,4.0376
2017-01-30,4.0485
2017-01-31,4.0006
2017-02-01,3.9982
2017-02-02,4.0072
2017-02-03,3.988
2017-02-06,3.9956
2017-02-07,4.0297
2017-02-08,4.0305
2017-02-09,4.0484
2017-02-10,4.0365
2017-02-13,4.0675
2017-02-14,4.0678
2017-02-15,4.0668
2017-02-16,4.043
2017-02-17,4.0632
2017-02-20,4.0686
2017-02-21,4.0764
2017-02-22,4.0738
2017-02-23,4.0658
2017-02-24,4.0638
2017-02-27,4.0712
2017-02-28,4.0719
2017-03-01,4.056
2017-03-02,4.0881
2017-03-03,4.0511
2017-03-06,4.0705
2017-03-07,4.0731
2017-03-08,4.088
2017-03-09,4.0898
2017-03-10,4.0565
2017-03-13,4.0644
2017-03-14,4.0689
2017-03-15,4.0169
2017-03-16,4.0001
2017-03-17,3.9826
2017-03-20,3.9731
2017-03-21,3.9544
2017-03-22,3.9646
2017-03-23,3.9539
2017-03-24,3.9475
2017-03-27,3.9091
2017-03-28,3.9207
2017-03-29,3.9226
2017-03-30,3.9411
2017-03-31,3.9613
2017-04-03,3.9691
2017-04-04,3.9777
2017-04-05,3.9655
2017-04-06,3.976
2017-04-07,3.9835
2017-04-10,3.9939
2017-04-11,4.0046
2017-04-12,3.982
2017-04-13,3.9976
2017-04-14,3.9894
2017-04-17,3.9903
2017-04-18,3.9411
2017-04-19,3.9731
2017-04-20,3.9777
2017-04-21,3.9734
2017-04-24,3.9047
2017-04-25,3.8613
2017-04-26,3.8714
2017-04-27,3.8822
2017-04-28,3.8765
2017-05-01,3.872
2017-05-02,3.8424
2017-05-03,3.8608
2017-05-04,3.8509
2017-05-05,3.828
2017-05-08,3.871
2017-05-09,3.8895
2017-05-10,3.8729
2017-05-11,3.8887
2017-05-12,3.8531
2017-05-15,3.8205
2017-05-16,3.7616
2017-05-17,3.7542
2017-05-18,3.7954
2017-05-19,3.7401
2017-05-22,3.7338
2017-05-23,3.7555
2017-05-24,3.7199
2017-05-25,3.7218
2017-05-26,3.7344
2017-05-29,3.7482
2017-05-30,3.7359
2017-05-31,3.7172
2017-06-01,3.7374
2017-06-02,3.7154
2017-06-05,3.7178
2017-06-06,3.7175
2017-06-07,3.7369
2017-06-08,3.7498
2017-06-09,3.7376
2017-06-12,3.741
2017-06-13,3.7384
2017-06-14,3.7439
2017-06-15,3.7978
2017-06-16,3.7577
2017-06-19,3.7814
2017-06-20,3.8138
2017-06-21,3.8087
2017-06-22,3.789
2017-06-23,3.7819
2017-06-26,3.758
2017-06-27,3.7374
2017-06-28,3.7203
2017-06-29,3.7064
2017-06-30,3.6998
2017-07-03,3.7365
2017-07-04,3.7306
2017-07-05,3.7241
2017-07-06,3.7092
2017-07-07,3.7117
2017-07-10,3.7168
2017-07-11,3.6942
2017-07-12,3.7033
2017-07-13,3.7056
2017-07-14,3.6698
2017-07-17,3.6608
2017-07-18,3.6347
2017-07-19,3.6496
2017-07-20,3.6222
2017-07-21,3.6539
2017-07-24,3.6627
2017-07-25,3.6612
2017-07-26,3.6197
2017-07-27,3.6357
2017-07-28,3.6161
2017-07-31,3.5909
2017-08-01,3.6036
2017-08-02,3.5915
2017-08-03,3.5699
2017-08-04,3.6045
2017-08-07,3.6053
2017-08-08,3.625
2017-08-09,3.628
2017-08-10,3.6357
2017-08-11,3.6242
2017-08-14,3.637
2017-08-15,3.6547
2017-08-16,3.6229
2017-08-17,3.6441
2017-08-18,3.6326
2017-08-21,3.6222
2017-08-22,3.6317
2017-08-23,3.6282
2017-08-24,3.6095
2017-08-25,3.5716
2017-08-28,3.5539
2017-08-29,3.5516
2017-08-30,3.5747
2017-08-31,3.564
2017-09-01,3.5851
2017-09-04,3.5635
2017-09-05,3.5506
2017-09-06,3.5612
2017-09-07,3.5335
2017-09-08,3.5248
2017-09-11,3.5471
2017-09-12,3.5547
2017-09-13,3.6
2017-09-14,3.5894
2017-09-15,3.5787
2017-09-18,3.5881
2017-09-19,3.5688
2017-09-20,3.5972
2017-09-21,3.5814
2017-09-22,3.5704
2017-09-25,3.6043
2017-09-26,3.6334
2017-09-27,3.6818
2017-09-28,3.6623
2017-09-29,3.6497
2017-10-02,3.6711
2017-10-03,3.6738
2017-10-04,3.6545
2017-10-05,3.674
2017-10-06,3.6737
2017-10-09,3.662
2017-10-10,3.6357
2017-10-11,3.5978
2017-10-12,3.6071
2017-10-13,3.592
2017-10-16,3.5884
2017-10-17,3.5989
2017-10-18,3.5896
2017-10-19,3.5745
2017-10-20,3.5935
2017-10-23,3.5987
2017-10-24,3.6073
2017-10-25,3.5905
2017-10-26,3.6519
2017-10-27,3.6551
2017-10-30,3.6498
2017-10-31,3.638
2017-11-01,3.6434
2017-11-02,3.6322
2017-11-03,3.6557
2017-11-06,3.6501
2017-11-07,3.6595
2017-11-08,3.654
2017-11-09,3.6312
2017-11-10,3.6223
2017-11-13,3.6303
2017-11-14,3.6
2017-11-15,3.6039
2017-11-16,3.5993
2017-11-17,3.5895
2017-11-20,3.6037
2017-11-21,3.5957
2017-11-22,3.5636
2017-11-23,3.5502
2017-11-24,3.5267
2017-11-27,3.5366
2017-11-28,3.5463
2017-11-29,3.5449
2017-11-30,3.5342
2017-12-01,3.543
2017-12-04,3.5453
2017-12-05,3.5583
2017-12-06,3.5682
2017-12-07,3.573
2017-12-08,3.5682
2017-12-11,3.5659
2017-12-12,3.5854
2017-12-13,3.565
2017-12-14,3.5888
2017-12-15,3.5767
2017-12-18,3.5684
2017-12-19,3.5452
2017-12-20,3.5408
2017-12-21,3.5345
2017-12-22,3.5339
2017-12-25,3.5337
2017-12-26,3.5372
2017-12-27,3.5201
2017-12-28,3.4996
2017-12-29,3.4804
2018-01-01,3.4729
2018-01-02,3.4512
2018-01-03,3.4533
2018-01-04,3.4356
2018-01-05,3.4485
2018-01-08,3.4845
2018-01-09,3.5106
2018-01-10,3.4924
2018-01-11,3.4602
2018-01-12,3.4216
2018-01-15,3.399
2018-01-16,3.4019
2018-01-17,3.4236
2018-01-18,3.3984
2018-01-19,3.4136
2018-01-22,3.3975
2018-01-23,3.3868
2018-01-24,3.3453
2018-01-25,3.3468
2018-01-26,3.3302
2018-01-29,3.3476
2018-01-30,3.3514
2018-01-31,3.3438
2018-02-01,3.3209
2018-02-02,3.344
2018-02-05,3.3596
2018-02-06,3.3557
2018-02-07,3.4017
2018-02-08,3.4204
2018-02-09,3.4186
2018-02-12,3.3902
2018-02-13,3.3723
2018-02-14,3.3359
2018-02-15,3.3225
2018-02-16,3.3513
2018-02-19,3.3319
2018-02-20,3.3627
2018-02-21,3.3965
2018-02-22,3.3896
2018-02-23,3.394
2018-02-26,3.3839
2018-02-27,3.4093
2018-02-28,3.4239
2018-03-01,3.4078
2018-03-02,3.3954
2018-03-05,3.3957
2018-03-06,3.3686
2018-03-07,3.3891
2018-03-08,3.4128
2018-03-09,3.406
2018-03-12,3.4073
2018-03-13,3.3971
2018-03-14,3.3954
2018-03-15,3.4219
2018-03-16,3.4319
2018-03-19,3.4234
2018-03-20,3.4537
2018-03-21,3.4247
2018-03-22,3.4257
2018-03-23,3.4224
2018-03-26,3.3895
2018-03-27,3.394
2018-03-28,3.4149
2018-03-29,3.418
2018-03-30,3.4211
2018-04-02,3.4209
2018-04-03,3.4155
2018-04-04,3.4196
2018-04-05,3.4248
2018-04-06,3.4184
2018-04-09,3.4006
2018-04-10,3.3889
2018-04-11,3.3825
2018-04-12,3.3883
2018-04-13,3.3793
2018-04-16,3.3538
2018-04-17,3.3638
2018-04-18,3.362
2018-04-19,3.3731
2018-04-20,3.3955
2018-04-23,3.4413
2018-04-24,3.4388
2018-04-25,3.472
2018-04-26,3.4927
2018-04-27,3.4685
2018-04-30,3.5079
2018-05-01,3.5656
2018-05-02,3.5713
2018-05-03,3.5587
2018-05-04,3.5507
2018-05-07,3.573
2018-05-08,3.6086
2018-05-09,3.5963
2018-05-10,3.5654
2018-05-11,3.572
2018-05-14,3.5808
2018-05-15,3.6334
2018-05-16,3.615
2018-05-17,3.6406
2018-05-18,3.6527
2018-05-21,3.6365
2018-05-22,3.6363
2018-05-23,3.6744
2018-05-24,3.6763
2018-05-25,3.7015
2018-05-28,3.6938
2018-05-29,3.7544
2018-05-30,3.6904
2018-05-31,3.6865
2018-06-01,3.6901
2018-06-04,3.6515
2018-06-05,3.6502
2018-06-06,3.6209
2018-06-07,3.6256
2018-06-08,3.6349
2018-06-11,3.6223
2018-06-12,3.6435
2018-06-13,3.6233
2018-06-14,3.6978
2018-06-15,3.6875
2018-06-18,3.7019
2018-06-19,3.7203
2018-06-20,3.7271
2018-06-21,3.7269
2018-06-22,3.7075
2018-06-25,3.7132
2018-06-26,3.7218
2018-06-27,3.7626
2018-06-28,3.7719
2018-06-29,3.7412
2018-07-02,3.7784
2018-07-03,3.7696
2018-07-04,3.7582
2018-07-05,3.7212
2018-07-06,3.7087
2018-07-09,3.6681
2018-07-10,3.6761
2018-07-11,3.7176
2018-07-12,3.7039
2018-07-13,3.6912
2018-07-16,3.6723
2018-07-17,3.6837
2018-07-18,3.6995
2018-07-19,3.7254
2018-07-20,3.6833
2018-07-23,3.6996
2018-07-24,3.682
2018-07-25,3.6612
2018-07-26,3.6835
2018-07-27,3.675
2018-07-30,3.6451
2018-07-31,3.6553
2018-08-01,3.6527
2018-08-02,3.689
2018-08-03,3.6836
2018-08-06,3.6834
2018-08-07,3.6693
2018-08-08,3.6715
2018-08-09,3.7115
2018-08-10,3.7608
2018-08-13,3.77
2018-08-14,3.7877
2018-08-15,3.8073
2018-08-16,3.7837
2018-08-17,3.753
2018-08-20,3.7477
2018-08-21,3.7067
2018-08-22,3.6804
2018-08-23,3.7163
2018-08-24,3.679
2018-08-27,3.6562
2018-08-28,3.6505
2018-08-29,3.663
2018-08-30,3.687
2018-08-31,3.708
2018-09-03,3.693
2018-09-04,3.7208
2018-09-05,3.718
2018-09-06,3.7189
2018-09-07,3.7268
2018-09-10,3.7173
2018-09-11,3.7089
2018-09-12,3.7037
2018-09-13,3.6803
2018-09-14,3.7031
2018-09-17,3.6822
2018-09-18,3.6706
2018-09-19,3.6711
2018-09-20,3.6411
2018-09-21,3.6644
2018-09-24,3.6547
2018-09-25,3.6416
2018-09-26,3.6353
2018-09-27,3.6692
2018-09-28,3.6877
2018-10-01,3.7012
2018-10-02,3.7181
2018-10-03,3.7446
2018-10-04,3.7406
2018-10-05,3.736
2018-10-08,3.7555
2018-10-09,3.7409
2018-10-10,3.7446
2018-10-11,3.7128
2018-10-12,3.7153
2018-10-15,3.7045
2018-10-16,3.7015
2018-10-17,3.7308
2018-10-18,3.7593
2018-10-19,3.7294
2018-10-22,3.7422
2018-10-23,3.7445
2018-10-24,3.7821
2018-10-25,3.788
2018-10-26,3.7807
2018-10-29,3.8022
2018-10-30,3.8169
2018-10-31,3.8357
2018-11-01,3.7888
2018-11-02,3.7823
2018-11-05,3.7734
2018-11-06,3.7682
2018-11-07,3.7506
2018-11-08,3.7627
2018-11-09,3.7903
2018-11-12,3.8361
2018-11-13,3.7989
2018-11-14,3.7947
2018-11-15,3.7871
2018-11-16,3.7751
2018-11-19,3.7801
