date,rate
2016-02-08,1.4053
2016-02-09,1.39626
2016-02-10,1.39131
2016-02-11,1.38871
2016-02-12,1.39625
2016-02-15,1.39948
2016-02-16,1.40484
2016-02-17,1.40356
2016-02-18,1.40261
2016-02-19,1.40488
2016-02-22,1.39901
2016-02-23,1.40819
2016-02-24,1.4045
2016-02-25,1.40126
2016-02-26,1.4048
2016-02-29,1.40468
2016-03-01,1.40006
2016-03-02,1.39699
2016-03-03,1.38879
2016-03-04,1.3718
2016-03-07,1.37816
2016-03-08,1.3835
2016-03-09,1.38102
2016-03-10,1.38038
2016-03-11,1.36975
2016-03-14,1.37616
2016-03-15,1.38092
2016-03-16,1.36586
2016-03-17,1.35002
2016-03-18,1.3575
2016-03-21,1.36024
2016-03-22,1.36053
2016-03-23,1.36647
2016-03-24,1.36919
2016-03-25,1.37083
2016-03-28,1.36978
2016-03-29,1.35549
2016-03-30,1.35097
2016-03-31,1.34781
2016-04-01,1.349
2016-04-04,1.35244
2016-04-05,1.35479
2016-04-06,1.34702
2016-04-07,1.35212
2016-04-08,1.3488
2016-04-11,1.34353
2016-04-12,1.34331
2016-04-13,1.35189
2016-04-14,1.36278
2016-04-15,1.35647
2016-04-18,1.35102
2016-04-19,1.33765
2016-04-20,1.34439
2016-04-21,1.34923
2016-04-22,1.35425
2016-04-25,1.35188
2016-04-26,1.35097
2016-04-27,1.34798
2016-04-28,1.34461
2016-04-29,1.34185
2016-05-02,1.3407
2016-05-03,1.35148
2016-05-04,1.35668
2016-05-05,1.3582
2016-05-06,1.36025
2016-05-09,1.37199
2016-05-10,1.3682
2016-05-11,1.36653
2016-05-12,1.37272
2016-05-13,1.37107
2016-05-16,1.36955
2016-05-17,1.36947
2016-05-18,1.38112
2016-05-19,1.37947
2016-05-20,1.38125
2016-05-23,1.37778
2016-05-24,1.38089
2016-05-25,1.37814
2016-05-26,1.37354
2016-05-27,1.37868
2016-05-30,1.38071
2016-05-31,1.37733
2016-06-01,1.37723
2016-06-02,1.376
2016-06-03,1.356
2016-06-06,1.35632
2016-06-07,1.35219
2016-06-08,1.34571
2016-06-09,1.35301
2016-06-10,1.35924
2016-06-13,1.3553
2016-06-14,1.3555
2016-06-15,1.35101
2016-06-16,1.34895
2016-06-17,1.34764
2016-06-20,1.34295
2016-06-21,1.34243
2016-06-22,1.33674
2016-06-23,1.34057
2016-06-24,1.35232
