date,rate
2016-01-18,36.27
2016-01-19,36.26
2016-01-20,36.26
2016-01-21,36.21
2016-01-22,36
2016-01-25,35.95
2016-01-26,35.82
2016-01-27,35.78
2016-01-28,35.77
2016-01-29,35.68
2016-02-01,35.53
2016-02-02,35.77
2016-02-03,35.62
2016-02-04,35.6
2016-02-05,35.55
2016-02-08,35.52
2016-02-09,35.4
2016-02-10,35.3
2016-02-11,35.22
2016-02-12,35.6
2016-02-15,35.64
2016-02-16,35.63
2016-02-17,35.63
2016-02-18,35.51
2016-02-19,35.74
2016-02-22,35.77
2016-02-23,35.73
2016-02-24,35.68
2016-02-25,35.65
2016-02-26,35.65
2016-02-29,35.63
2016-03-01,35.59
2016-03-02,35.52
2016-03-03,35.47
2016-03-04,35.42
2016-03-07,35.42
2016-03-08,35.35
2016-03-09,35.27
2016-03-10,35.15
2016-03-11,35.09
2016-03-14,35.09
2016-03-15,35.12
2016-03-16,34.91
2016-03-17,34.74
2016-03-18,34.8
2016-03-21,34.92
2016-03-22,34.94
2016-03-23,35.2
2016-03-24,35.33
2016-03-25,35.33
2016-03-28,35.32
2016-03-29,35.43
2016-03-30,35.22
2016-03-31,35.1
2016-04-01,35.09
2016-04-04,35.23
2016-04-05,35.29
2016-04-06,35.3
2016-04-07,35.18
2016-04-08,35.11
2016-04-11,35.04
2016-04-12,35.02
2016-04-13,35.01
2016-04-14,35.07
2016-04-15,35.01
2016-04-18,35
2016-04-19,34.82
2016-04-20,34.84
2016-04-21,35
2016-04-22,35.02
2016-04-25,35.06
2016-04-26,35.12
2016-04-27,35.09
2016-04-28,34.99
2016-04-29,34.9
2016-05-02,34.84
2016-05-03,34.94
2016-05-04,35.1
2016-05-05,35.1
2016-05-06,35.13
2016-05-09,35.17
2016-05-10,35.22
2016-05-11,35.24
2016-05-12,35.33
2016-05-13,35.45
2016-05-16,35.45
2016-05-17,35.48
2016-05-18,35.59
2016-05-19,35.71
2016-05-20,35.69
2016-05-23,35.68
2016-05-24,35.73
2016-05-25,35.67
2016-05-26,35.6
2016-05-27,35.68
2016-05-30,35.72
2016-05-31,35.75
2016-06-01,35.65
2016-06-02,35.61
2016-06-03,35.33
2016-06-06,35.25
2016-06-07,35.24
2016-06-08,35.18
2016-06-09,35.16
2016-06-10,35.17
2016-06-13,35.16
2016-06-14,35.3
2016-06-15,35.28
2016-06-16,35.27
2016-06-17,35.28
2016-06-20,35.18
2016-06-21,35.19
2016-06-22,35.16
2016-06-23,35.12
2016-06-24,35.29
2016-06-27,35.31
2016-06-28,35.21
2016-06-29,35.11
2016-06-30,35.09
2016-07-01,35.04
2016-07-04,35.02
2016-07-05,35.15
2016-07-06,35.19
2016-07-07,35.22
2016-07-08,35.17
2016-07-11,35.12
2016-07-12,35.19
2016-07-13,35.18
2016-07-14,35.02
2016-07-15,34.9
2016-07-18,34.92
2016-07-19,35
2016-07-20,35.03
2016-07-21,34.97
2016-07-22,34.92
2016-07-25,35.02
2016-07-26,34.98
2016-07-27,34.92
2016-07-28,34.84
2016-07-29,34.79
2016-08-01,34.75
2016-08-02,34.76
2016-08-03,35
2016-08-04,34.9
2016-08-05,35.02
2016-08-08,34.94
2016-08-09,34.86
2016-08-10,34.73
2016-08-11,34.7
2016-08-12,34.72
2016-08-15,34.59
2016-08-16,34.59
2016-08-17,34.68
2016-08-18,34.53
2016-08-19,34.63
2016-08-22,34.67
2016-08-23,34.57
2016-08-24,34.59
2016-08-25,34.56
2016-08-26,34.54
2016-08-29,34.55
2016-08-30,34.59
2016-08-31,34.58
2016-09-01,34.58
2016-09-02,34.6
2016-09-05,34.71
2016-09-06,34.66
2016-09-07,34.6
2016-09-08,34.72
2016-09-09,34.72
2016-09-12,34.84
2016-09-13,34.93
2016-09-14,34.86
2016-09-15,34.87
2016-09-16,34.9
2016-09-19,34.82
2016-09-20,34.76
2016-09-21,34.64
2016-09-22,34.56
2016-09-23,34.62
2016-09-26,34.6
2016-09-27,34.58
2016-09-28,34.6
2016-09-29,34.64
2016-09-30,34.63
2016-10-03,34.62
2016-10-04,34.7
2016-10-05,34.8
2016-10-06,34.81
2016-10-07,34.86
2016-10-10,35.11
2016-10-11,35.41
2016-10-12,35.64
2016-10-13,35.32
2016-10-14,35.28
2016-10-17,35.24
2016-10-18,35.04
2016-10-19,34.85
2016-10-20,34.97
2016-10-21,35.13
2016-10-24,35.03
2016-10-25,34.87
2016-10-26,34.98
2016-10-27,35.1
2016-10-28,35.02
2016-10-31,34.98
2016-11-01,35.02
2016-11-02,34.95
2016-11-03,34.95
2016-11-04,34.99
2016-11-07,35
2016-11-08,34.95
2016-11-09,35.02
2016-11-10,35.28
2016-11-11,35.36
2016-11-14,35.45
2016-11-15,35.4
2016-11-16,35.44
2016-11-17,35.49
2016-11-18,35.5
2016-11-21,35.42
2016-11-22,35.49
2016-11-23,35.65
2016-11-24,35.66
2016-11-25,35.62
2016-11-28,35.57
2016-11-29,35.62
2016-11-30,35.68
2016-12-01,35.61
2016-12-02,35.6
2016-12-05,35.61
2016-12-06,35.61
2016-12-07,35.59
2016-12-08,35.64
2016-12-09,35.62
2016-12-12,35.56
2016-12-13,35.58
2016-12-14,35.68
2016-12-15,35.79
2016-12-16,35.83
2016-12-19,35.87
2016-12-20,36.02
2016-12-21,35.97
